camera,trans_err_cm,rot_err_deg,dx_cm,dy_cm,dz_cm,est_x_m,est_y_m,est_z_m,gt_x_m,gt_y_m,gt_z_m,est_roll_deg,est_pitch_deg,est_yaw_deg,gt_roll_deg,gt_pitch_deg,gt_yaw_deg
cam_edge_0,8.225,2.380,-7.103,3.063,2.794,0.516776,-1.703921,2.115266,0.587808,-1.734555,2.087328,-113.887,-3.402,-1.660,-112.765,-1.497,-0.827
cam_edge_1,16.080,2.598,-9.968,8.022,-9.740,-4.073847,0.555306,2.034145,-3.974167,0.475086,2.131543,-104.210,0.159,-115.861,-106.364,0.768,-114.560
cam_edge_3,10.739,2.748,-7.521,4.412,-6.269,-3.302570,-1.519095,1.991523,-3.227356,-1.563214,2.054211,-108.312,0.050,-61.528,-109.390,1.967,-59.900
cam_edge_5,37.769,3.939,22.756,-29.234,-7.351,6.086422,0.056078,2.065248,5.858859,0.348420,2.138762,-108.217,6.128,110.778,-109.271,4.073,113.877
