method,label,pair,from_camera,to_camera,translation_error_cm,rotation_error_deg,gt_baseline_m,estimated_baseline_m,baseline_error_cm,direction_error_deg,gt_x_m,gt_y_m,gt_z_m,gt_roll_deg,gt_pitch_deg,gt_yaw_deg,gt_rvec_x,gt_rvec_y,gt_rvec_z,estimated_x_m,estimated_y_m,estimated_z_m,estimated_roll_deg,estimated_pitch_deg,estimated_yaw_deg,estimated_rvec_x,estimated_rvec_y,estimated_rvec_z
ap01,root_cam_edge_3,cam_edge_0-cam_edge_1,cam_edge_0,cam_edge_1,169.69275583574725,16.462751345745737,5.069131069576643,4.609832897819114,45.92981717575286,19.455580662601385,-4.590674262084118,-0.9808404021811508,1.913047758273379,115.90214977992046,57.450670973219815,138.4497834938831,0.05973524746496482,1.862313170365479,0.6890226811483597,-4.5271958122267915,0.30895736597472845,0.8121593252444561,93.29304799394099,57.94820222550366,108.01484446218613,0.23917897643404182,1.6210549923694222,0.6367197951278053
ap01,root_cam_edge_3,cam_edge_0-cam_edge_3,cam_edge_0,cam_edge_3,17.662639732920464,2.368074257764192,3.819152918656321,3.845616920282429,2.646400162610796,2.611072738935648,-3.81680220975047,-0.1063958311610107,0.0814237977288359,21.20580374270508,50.53923196926396,36.24433498574047,0.05780068377927819,0.9425257326838135,0.4222289727329982,-3.8452244803435285,0.05357627540779375,0.01215631699098818,20.99183793223458,49.11438455650913,34.19437345775726,0.07974802412763009,0.9164721520115339,0.3975572570124017
ap01,root_cam_edge_3,cam_edge_0-cam_edge_5,cam_edge_0,cam_edge_5,712.9465509204231,44.932054240676834,5.6679279645010325,5.517865445303232,15.006251919780045,79.17918743084459,5.239989224744797,-0.7565583592593794,2.023744001687466,121.10918727720495,-59.18839253897587,-144.80607014753681,-0.005927455730751903,-1.890899029153531,-0.659747852386118,3.014534054839812,1.1325239671272926,-4.480715675934452,25.540164615037614,-59.466416516900544,-50.768353886352386,-0.07249109743553214,-1.1089201777877304,-0.5637662707234917
ap01,root_cam_edge_3,cam_edge_1-cam_edge_3,cam_edge_1,cam_edge_3,146.09223734361794,14.135860691764963,2.1721826797050396,1.081808306561004,109.03743731440356,36.979961046535976,1.5443865298310695,-0.3757221990345858,1.4805676849234315,5.145378882018558,-52.158716168945,-19.440987313922378,-0.07152290562849599,-0.9138098031455153,-0.27444766234862317,0.4372481503939023,-0.7750983761259074,0.6150981827712387,-4.077121330432085,-39.92281194762782,-15.90008201149385,-0.1645355754607875,-0.682861447020638,-0.2908439918646944
ap01,root_cam_edge_3,cam_edge_1-cam_edge_5,cam_edge_1,cam_edge_5,779.2481944549361,57.20078380539725,9.833844654272022,9.250431185217426,58.34134690545962,48.07869300242436,-3.9715362540357773,-2.490397692472714,8.644612183352152,133.3021054862451,43.91477015093176,156.5275178587406,0.07074491249427355,2.174340618010422,0.7301083985994897,3.663942862855057,-3.688479243946534,7.65121694092856,137.3716529601773,-10.390596399439385,176.14370203482278,-0.1926558230580973,-2.7830871580515755,-1.095701145513194
ap01,root_cam_edge_3,cam_edge_3-cam_edge_5,cam_edge_3,cam_edge_5,725.0251741806375,46.378839750509044,9.285515073252316,8.2708109655161,101.47041077362164,48.358303704974176,2.8983748134908356,-3.1018777282117984,8.2582424386392,141.70501809791045,-7.866545909544569,176.3434827013253,-0.1596302220659384,-2.8589394874323952,-0.9996874983186073,7.507482911835308,-2.11871860950853,2.748644358501923,119.82119088464727,-47.65906451323795,-157.43632189213875,-0.10915215606680892,-2.033152860088993,-0.9504157083363721
ap02,combined_nfev_60__ref_marker_7,cam_edge_0-cam_edge_1,cam_edge_0,cam_edge_1,40.44585692012417,5.987907732685281,5.069131069576643,5.081932377765677,1.280130818903391,4.564704804802264,-4.590674262084118,-0.9808404021811508,1.913047758273379,115.90214977992046,57.450670973219815,138.4497834938831,0.05973524746496482,1.862313170365479,0.6890226811483597,-4.666079459974163,-0.5837152489513278,1.926918699253298,111.67540766421271,53.13965309862562,131.57972847590358,0.17661472741730977,1.8465572443650673,0.7269849197943999
ap02,combined_nfev_60__ref_marker_7,cam_edge_0-cam_edge_3,cam_edge_0,cam_edge_3,41.93791141192446,5.0194980576255075,3.819152918656321,4.0787362068579185,25.958328820159736,4.783083839109351,-3.81680220975047,-0.1063958311610107,0.0814237977288359,21.20580374270508,50.53923196926396,36.24433498574047,0.05780068377927819,0.9425257326838135,0.4222289727329982,-4.071601900694466,0.2267038503555998,0.08217281563191747,28.065393674175123,49.078905338239615,39.61982129332057,0.14872197716703303,0.9510468760431556,0.42822008075107026
ap02,combined_nfev_60__ref_marker_7,cam_edge_0-cam_edge_5,cam_edge_0,cam_edge_5,362.3170670717929,30.727681582650526,5.6679279645010325,6.381710137665495,71.37821731644624,34.35261020707065,5.239989224744797,-0.7565583592593794,2.023744001687466,121.10918727720495,-59.18839253897587,-144.80607014753681,-0.005927455730751903,-1.890899029153531,-0.659747852386118,5.991007727651111,2.1976798991075253,0.06522077480343391,100.26125314485384,-78.06142111090905,-101.710405971363,0.14158649157232417,-1.6044000693434306,-0.18137503289585585
ap02,combined_nfev_60__ref_marker_7,cam_edge_1-cam_edge_3,cam_edge_1,cam_edge_3,26.445998869405614,1.5816005975536405,2.1721826797050396,2.100778441470357,7.140423823468245,6.833843655485822,1.5443865298310695,-0.3757221990345858,1.4805676849234315,5.145378882018558,-52.158716168945,-19.440987313922378,-0.07152290562849599,-0.9138098031455153,-0.27444766234862317,1.6029659129900886,-0.5080628719921538,1.2592229588288006,3.029502833854512,-51.47905150759139,-18.35134946597815,-0.09492260175424222,-0.8976697370366113,-0.2745856439184206
