marker_id,frame_i,frame_j,status,legacy_metric_translation_m,wizard_metric_translation_m,metric_translation_abs_delta,legacy_colmap_translation_units,wizard_colmap_translation_units,colmap_translation_abs_delta,legacy_scale_sample,wizard_scale_sample,scale_sample_abs_delta,legacy_used,wizard_used
0,30,33,WIZARD_ONLY,,2.664143392434431,,,0.5974748133328109,,,4.459005355511823,,False,False
0,30,42,WIZARD_ONLY,,2.74014890907378,,,1.6861233305722132,,,1.6251177238285803,,False,False
0,30,43,WIZARD_ONLY,,2.437921254564768,,,1.7443415962645314,,,1.3976168772134552,,False,False
0,30,58,WIZARD_ONLY,,2.8273265678787873,,,2.623282055406368,,,1.0777821477686322,,False,False
0,30,59,WIZARD_ONLY,,2.629329696925059,,,2.6789150358926954,,,0.9814905145167796,,False,False
0,30,61,WIZARD_ONLY,,2.8783382738531467,,,2.7919415363141518,,,1.0309450382163279,,False,False
0,30,62,WIZARD_ONLY,,2.873866394335923,,,2.9296817119825236,,,0.9809483339373306,,False,False
0,30,63,WIZARD_ONLY,,2.235074530783063,,,3.0696098635546267,,,0.7281298373842313,,False,True
0,30,64,WIZARD_ONLY,,3.058226381424745,,,3.209618662117621,,,0.9528316922880204,,False,False
0,30,65,WIZARD_ONLY,,2.9188956538978226,,,3.3497910394319477,,,0.8713664880997486,,False,True
0,30,66,WIZARD_ONLY,,3.129712549650538,,,3.489058727763367,,,0.897007701460163,,False,False
0,30,67,WIZARD_ONLY,,2.6705477985804444,,,3.628899285521745,,,0.7359112470371264,,False,True
0,30,68,WIZARD_ONLY,,2.7288592494208745,,,3.7684664512703656,,,0.7241299039562804,,False,True
0,30,69,WIZARD_ONLY,,2.858717577898055,,,3.9076414582928796,,,0.73157110456775,,False,True
0,30,70,WIZARD_ONLY,,3.314837343125642,,,4.047942160172501,,,0.8188944436361171,,False,True
0,30,71,WIZARD_ONLY,,3.3686886206916014,,,4.187946907516146,,,0.8043771077053975,,False,True
0,30,72,WIZARD_ONLY,,3.3969173232445407,,,4.328993381439,,,0.7846898860620045,,False,True
0,30,73,WIZARD_ONLY,,3.5325842906798783,,,4.4731451736250545,,,0.7897316437456596,,False,True
0,30,74,WIZARD_ONLY,,3.4645162619303203,,,4.6197060607248535,,,0.7499430085789314,,False,True
0,30,75,WIZARD_ONLY,,3.456460598435442,,,4.769090198685906,,,0.7247631003892206,,False,True
0,30,76,WIZARD_ONLY,,3.55827477320197,,,4.9207009460416415,,,0.7231235574403992,,False,True
0,30,77,WIZARD_ONLY,,3.7612429801914304,,,5.074436110716051,,,0.7412139788790608,,False,True
0,30,78,WIZARD_ONLY,,3.709304667718986,,,5.231239306904042,,,0.7090680525403512,,False,True
0,30,79,WIZARD_ONLY,,3.8627749784590732,,,5.413593771665674,,,0.7135324779403536,,False,True
0,30,80,WIZARD_ONLY,,3.941180401064447,,,5.599794956412163,,,0.7038079843533406,,False,True
0,30,81,WIZARD_ONLY,,4.062594676558902,,,5.783314873034741,,,0.7024681805760116,,False,True
0,30,82,WIZARD_ONLY,,4.1585278022030865,,,5.966858242175265,,,0.6969375898374054,,False,True
0,30,83,WIZARD_ONLY,,4.29085174348512,,,6.151656724239903,,,0.6975115705948784,,False,True
0,31,33,WIZARD_ONLY,,1.1247902254927293,,,0.39846298915497436,,,2.8228223350883517,,False,False
0,31,42,WIZARD_ONLY,,1.4648738101602694,,,1.4871134746536807,,,0.9850450790255999,,False,False
0,31,43,WIZARD_ONLY,,1.303307047616274,,,1.5453306558206237,,,0.8433839338572968,,False,True
0,31,58,WIZARD_ONLY,,1.9377269906219043,,,2.4242706819541193,,,0.7993030667103439,,False,True
0,31,59,WIZARD_ONLY,,1.8756547556898904,,,2.47990575285245,,,0.7563411446311881,,False,True
0,31,61,WIZARD_ONLY,,2.2174122092302246,,,2.5929332745423066,,,0.8551751913560648,,False,True
0,31,62,WIZARD_ONLY,,2.146549129765985,,,2.73067110400405,,,0.7860884918064455,,False,True
0,31,63,WIZARD_ONLY,,2.401857315480358,,,2.8706004192932775,,,0.8367090380595984,,False,True
0,31,64,WIZARD_ONLY,,2.4430221385608633,,,3.0106100500327497,,,0.8114707975994061,,False,True
0,31,65,WIZARD_ONLY,,2.4464318191480214,,,3.1507811236699705,,,0.7764524805513827,,False,True
0,31,66,WIZARD_ONLY,,2.6187932414972677,,,3.29004858820579,,,0.7959740323851607,,False,True
0,31,67,WIZARD_ONLY,,2.583578325411692,,,3.4298891458407734,,,0.7532541769009202,,False,True
0,31,68,WIZARD_ONLY,,2.7331418866207886,,,3.5694564980179466,,,0.7657025343041586,,False,True
0,31,69,WIZARD_ONLY,,2.8024964491433972,,,3.7086309397539923,,,0.7556687345463654,,False,True
0,31,70,WIZARD_ONLY,,2.923179286698953,,,3.848932221673183,,,0.7594779846313343,,False,True
0,31,71,WIZARD_ONLY,,3.0361602037051734,,,3.988937228306632,,,0.7611451446665336,,False,True
0,31,72,WIZARD_ONLY,,3.006339239845476,,,4.130081336974856,,,0.7279128410694975,,False,True
0,31,73,WIZARD_ONLY,,3.1873409770481986,,,4.274469529417792,,,0.7456693643766208,,False,True
0,31,74,WIZARD_ONLY,,3.267492154271609,,,4.421375971988539,,,0.7390215568575671,,False,True
0,31,75,WIZARD_ONLY,,3.4254975296887085,,,4.571192293471769,,,0.7493663162192379,,False,True
0,31,76,WIZARD_ONLY,,3.46889073085585,,,4.723303329337648,,,0.7344204868888433,,False,True
0,31,77,WIZARD_ONLY,,3.55710883226651,,,4.877594063488709,,,0.7292752914584042,,False,True
0,31,78,WIZARD_ONLY,,3.6807650049935035,,,5.034998029627838,,,0.7310360368235471,,False,True
0,31,79,WIZARD_ONLY,,3.7304949866173858,,,5.21716060842205,,,0.7150431559640422,,False,True
0,31,80,WIZARD_ONLY,,3.972627177082018,,,5.403211796774872,,,0.7352343988168747,,False,True
0,31,81,WIZARD_ONLY,,4.069211549112515,,,5.586577043330166,,,0.7283908406795823,,False,True
0,31,82,WIZARD_ONLY,,4.183363420742685,,,5.769967548701149,,,0.7250237346108442,,False,True
0,31,83,WIZARD_ONLY,,4.360473785419188,,,5.954649196074226,,,0.7322805495064186,,False,True
0,33,42,WIZARD_ONLY,,0.7427106009847966,,,1.0886509898797696,,,0.68223021692822,,False,True
0,33,43,WIZARD_ONLY,,0.9477278323960789,,,1.1468678563739079,,,0.8263618403192005,,False,True
0,33,58,WIZARD_ONLY,,1.4064119855538997,,,2.025807730446016,,,0.6942475163939937,,False,True
0,33,59,WIZARD_ONLY,,1.5028050931743728,,,2.081443518883944,,,0.722001380071157,,False,True
0,33,61,WIZARD_ONLY,,1.6105176243525539,,,2.1944721344953635,,,0.7338975050247815,,False,True
0,33,62,WIZARD_ONLY,,1.6113690059719126,,,2.3322083245839185,,,0.6909198415023201,,False,True
0,33,63,WIZARD_ONLY,,2.4260600437914794,,,2.472138116425718,,,0.9813610443817518,,False,False
0,33,64,WIZARD_ONLY,,1.8598697448264971,,,2.612148713731657,,,0.712007603184862,,False,True
0,33,65,WIZARD_ONLY,,1.971012849292352,,,2.752318531583826,,,0.7161281758176913,,False,True
0,33,66,WIZARD_ONLY,,2.068378827728443,,,2.891585842198665,,,0.7153095016386293,,False,True
0,33,67,WIZARD_ONLY,,2.455520556815445,,,3.0314264920889644,,,0.8100214744522268,,False,True
