stage,key,legacy_rows,wizard_rows,legacy_cols,wizard_cols,count_equal,blob_equal,legacy_blob_sha256,wizard_blob_sha256,detail
descriptors,frame_0014.png,591,591,128,128,True,False,1fef3d1338d642251ef3516608fa2fbcceebf49bc7dc563771fa567672baca03,ef805a0927d0856911a60dc4320cc1e455b847906052cb0e4095482808483b83,per-image SQLite feature record compared by semantic image name
keypoints,frame_0015.png,679,679,6,6,True,True,798aa827e1fb51fa5046a658f9bfab1a3cfbd8c2ceb249d38e19a0fb43bab350,798aa827e1fb51fa5046a658f9bfab1a3cfbd8c2ceb249d38e19a0fb43bab350,per-image SQLite feature record compared by semantic image name
descriptors,frame_0015.png,679,679,128,128,True,True,a5a3cf1b9656cbf490b0a3fad42b507894af3d36052eb36be5544eedfee0fe8e,a5a3cf1b9656cbf490b0a3fad42b507894af3d36052eb36be5544eedfee0fe8e,per-image SQLite feature record compared by semantic image name
keypoints,frame_0016.png,657,657,6,6,True,True,29e274d0368fc227c78e193c53b480e5153a120f838d05fefe12ce586a30d4bb,29e274d0368fc227c78e193c53b480e5153a120f838d05fefe12ce586a30d4bb,per-image SQLite feature record compared by semantic image name
descriptors,frame_0016.png,657,657,128,128,True,False,948e99edfb66f250ce84a42358bbcc53d8f726e0e85e3bf93168206663c76d16,2aaa487f311662b6ee432344fcefa6ac6fac8ee55041300bc3385b3473c16731,per-image SQLite feature record compared by semantic image name
keypoints,frame_0017.png,857,857,6,6,True,True,209d54ce347e5070e35f04b8f29abd38443cb8838e91026e82bc0bc2914df751,209d54ce347e5070e35f04b8f29abd38443cb8838e91026e82bc0bc2914df751,per-image SQLite feature record compared by semantic image name
descriptors,frame_0017.png,857,857,128,128,True,False,d3946ddb9664e6067e758de91834440ddea1b44847ece555d2c1b6f18dfe5a61,332260105e5f1241ae7dd01fc6babc84ef13977b1bbdb699a1aeb414f300e956,per-image SQLite feature record compared by semantic image name
keypoints,frame_0018.png,922,922,6,6,True,True,6a3c30742980c841e62e3f390c924b52efbd4ffc9beda30c4c02a927b3114214,6a3c30742980c841e62e3f390c924b52efbd4ffc9beda30c4c02a927b3114214,per-image SQLite feature record compared by semantic image name
descriptors,frame_0018.png,922,922,128,128,True,True,bc43b209bcf557dbc810d29a7e68b2657208e043e9c2e638c82eb1bddc098f0f,bc43b209bcf557dbc810d29a7e68b2657208e043e9c2e638c82eb1bddc098f0f,per-image SQLite feature record compared by semantic image name
keypoints,frame_0019.png,1026,1026,6,6,True,True,da65962fb7b66123f6b9285f4afb22c6095d72be76a2498aec10c1759193ca82,da65962fb7b66123f6b9285f4afb22c6095d72be76a2498aec10c1759193ca82,per-image SQLite feature record compared by semantic image name
