stage,key,legacy_rows,wizard_rows,legacy_cols,wizard_cols,count_equal,blob_equal,legacy_blob_sha256,wizard_blob_sha256,detail
keypoints,frame_0051.png,305,305,6,6,True,True,2dbe9cbd36d83ae0b615febeb750faa16643ddb68c68701f36d8db741175bb05,2dbe9cbd36d83ae0b615febeb750faa16643ddb68c68701f36d8db741175bb05,per-image SQLite feature record compared by semantic image name
descriptors,frame_0051.png,305,305,128,128,True,True,75038f9ba3345e701924e769bd65c2c307cb5cfb195fa0cdcb0f66dffdb89e39,75038f9ba3345e701924e769bd65c2c307cb5cfb195fa0cdcb0f66dffdb89e39,per-image SQLite feature record compared by semantic image name
keypoints,frame_0052.png,510,510,6,6,True,True,072a9826da9c15a5528307c3203827f7a089239da0e5904a532e6fd2f435dd44,072a9826da9c15a5528307c3203827f7a089239da0e5904a532e6fd2f435dd44,per-image SQLite feature record compared by semantic image name
descriptors,frame_0052.png,510,510,128,128,True,True,0e2eca46580c231014756e3e2e803ff7cfc7271bd5e0a47fe28dcf9c7664b7bf,0e2eca46580c231014756e3e2e803ff7cfc7271bd5e0a47fe28dcf9c7664b7bf,per-image SQLite feature record compared by semantic image name
keypoints,frame_0053.png,873,873,6,6,True,True,1855ba7a7f4bfd07a9dd447fcd4fd5cb2f3e8840342b3d5b7c4e396fd060c26d,1855ba7a7f4bfd07a9dd447fcd4fd5cb2f3e8840342b3d5b7c4e396fd060c26d,per-image SQLite feature record compared by semantic image name
descriptors,frame_0053.png,873,873,128,128,True,True,f0aa25fafc4775db88b1ac99de46742f115432dbb151da65587cce4bf8849f38,f0aa25fafc4775db88b1ac99de46742f115432dbb151da65587cce4bf8849f38,per-image SQLite feature record compared by semantic image name
keypoints,frame_0054.png,986,986,6,6,True,True,707afcfad1d650e8fc896fddec699d375ad04f092302c22b83a00ffdd6734209,707afcfad1d650e8fc896fddec699d375ad04f092302c22b83a00ffdd6734209,per-image SQLite feature record compared by semantic image name
descriptors,frame_0054.png,986,986,128,128,True,True,d8ccfcfce218cb8ce6ea0f287ee1c65d24403110cfd286020156a1c2a25f678d,d8ccfcfce218cb8ce6ea0f287ee1c65d24403110cfd286020156a1c2a25f678d,per-image SQLite feature record compared by semantic image name
keypoints,frame_0055.png,1122,1122,6,6,True,True,c2dfcd39164d5f951fe473bd999128d5c125f8aafee0c58c348c0bbe8c0cb6c9,c2dfcd39164d5f951fe473bd999128d5c125f8aafee0c58c348c0bbe8c0cb6c9,per-image SQLite feature record compared by semantic image name
descriptors,frame_0055.png,1122,1122,128,128,True,False,546666edd8ea745d949249902ac0e521fb1d02124c938107df948658a244b88a,e4a6b26479345d7c062a651fbdb876d104227470ea9b7cf2d51a8d6b69f5af91,per-image SQLite feature record compared by semantic image name
keypoints,frame_0056.png,1169,1169,6,6,True,True,544d456362858bb27d14487e976b4c2e993e38cf1a9ed6b1ac4646542d863f87,544d456362858bb27d14487e976b4c2e993e38cf1a9ed6b1ac4646542d863f87,per-image SQLite feature record compared by semantic image name
descriptors,frame_0056.png,1169,1169,128,128,True,True,95ca0bea64ccb5158b768b9628d4f76b4790d0e2006eba4fe291f82fc6c44366,95ca0bea64ccb5158b768b9628d4f76b4790d0e2006eba4fe291f82fc6c44366,per-image SQLite feature record compared by semantic image name
