image_name,legacy_x,legacy_y,legacy_z,wizard_x,wizard_y,wizard_z,direct_translation_error,aligned_legacy_x,aligned_legacy_y,aligned_legacy_z,sim3_translation_residual,direct_rotation_error_degrees,sim3_rotation_residual_degrees
frame_0000.png,0.0856895516981615,-2.8070050176439167,6.348099874432949,-1.3983436657341848,-1.9609536957942049,5.538500959404641,1.890398855496178,-1.3981105176492425,-1.9604512205174132,5.537964578554288,0.000771066696158581,13.507451529335036,0.115199129374021
frame_0001.png,0.07924446660932438,-2.782824988499616,6.294416238639082,-1.3921751694167108,-1.941955023189233,5.486546096203355,1.8774429980383416,-1.3917929475237216,-1.941655101208776,5.486177785308329,0.0006096717848453383,13.509544970044391,0.11301295385289685
frame_0002.png,0.07310439133601476,-2.7583686297111303,6.239775006320114,-1.3849091579788237,-1.9229412078080166,5.433981293822574,1.8636110093991998,-1.3849937854827667,-1.9227011989858398,5.433557059073754,0.0004947132212229606,13.50580980590755,0.11719622735434913
frame_0003.png,0.06744521010678001,-2.733405188400612,6.184495350359563,-1.377614298180879,-1.903485484899945,5.380621695488643,1.8501828422474185,-1.3775898999707352,-1.9033640734071904,5.380414010309206,0.00024180396396461136,13.506977651494216,0.11788244643284405
frame_0004.png,0.06114217781814868,-2.710057879151411,6.130630334133986,-1.371073961633014,-1.8855214214555736,5.329023069732039,1.8367573727947755,-1.3711871119869286,-1.8853675084137196,5.328538908919564,0.0005204843123290396,13.506331839327101,0.12041983435847638
frame_0005.png,0.05499169575079288,-2.685123537031316,6.076605830102208,-1.3641517216172208,-1.8660305731676208,5.276854978496622,1.823316414436572,-1.3644667973118634,-1.8659202728268665,5.276451254163137,0.0005238627644453629,13.504998583484765,0.12936055457024992
frame_0006.png,0.042340228472379116,-2.630897324389726,5.9550920881200256,-1.3484657508460334,-1.823996059519477,5.159700054741082,1.793900613222412,-1.3484457680294466,-1.823999179405763,5.159632718320086,7.030818047473102e-05,13.506641843228222,0.116562738178717
frame_0007.png,0.028651787327986067,-2.5766086470344707,5.834375955116599,-1.333375911272385,-1.782162058007911,5.043556595427389,1.7639898225981383,-1.3335132313743938,-1.7818751778126343,5.0433411068131155,0.0003841775627741876,13.503556899217926,0.11919951525585527
frame_0008.png,0.01607286579825762,-2.5227677633166294,5.712993577097777,-1.317683522251986,-1.7403777058518708,4.926744826002075,1.734712484328193,-1.3174863950235267,-1.7403077886315228,4.926679886856609,0.00021900834348294708,13.508662778894642,0.1146659092348636
frame_0009.png,0.0019230285828004678,-2.469617010432244,5.592017943295003,-1.3032711804436679,-1.6993922124165601,4.809993428035101,1.7053857350236086,-1.3030337172307733,-1.6992251299199062,4.8101313721160235,0.0003214559186386838,13.508947912543793,0.11162561904740237
frame_0010.png,-0.010915050025441131,-2.4144968566095324,5.470587555647408,-1.2872315241911616,-1.6563963703850768,4.693051913734004,1.6757869088539457,-1.2871147064701314,-1.6564516842776003,4.693299268259796,0.00027908828008871614,13.50911272122106,0.11389678191302825
frame_0011.png,-0.024639033050538828,-2.359910667917929,5.349293663913976,-1.272273722595965,-1.6141695476756792,4.576218079789998,1.6463195302692328,-1.2720798060670393,-1.6140934315365367,4.57645453846482,0.00031513487862735084,13.507405762408515,0.10600583184194745
