variant,AP01_STATUS,AP02_STATUS,AP03_STATUS,PAIRWISE_STATUS,SECONDARY_STATUS
route1,OK_FULL,OK_FULL,OK_FULL,OK,OK
route2,OK_FULL,OK_FULL,OK_FULL,OK,OK
