approach,entity_type,entity_id,marker_id,translation_error_cm,rotation_error_deg,dX_cm,dY_cm,dZ_cm,est_ref14_x_m,est_ref14_y_m,est_ref14_z_m,gt_ref14_x_m,gt_ref14_y_m,gt_ref14_z_m,note
AP03_targetless_colmap_single_ref14_metric_registration,camera,cam_edge_0,14,8.780581268045095,0.953870689230516,1.2143933921245131,-2.319389830968621,8.381186485570424,0.5999518639212451,-1.7577491587378042,2.171140164499941,0.58780793,-1.734555260428118,2.087328299644237,baseline standard rerun; targetless COLMAP + single Ref14 metric registration; min_area_px2=500; GT evaluation-only
AP03_targetless_colmap_single_ref14_metric_registration,camera,cam_edge_1,14,12.536828011679809,0.8096107357865552,-12.00102876793907,1.0617949937140825,3.4669808907553445,-4.0941776076793905,0.48570444949995406,2.1662124890049954,-3.97416732,0.47508649956281324,2.131542680097442,baseline standard rerun; targetless COLMAP + single Ref14 metric registration; min_area_px2=500; GT evaluation-only
AP03_targetless_colmap_single_ref14_metric_registration,camera,cam_edge_3,14,10.261869940945385,0.8275391601367678,-7.627569467038908,-4.02002075499639,5.5646735609352405,-3.303631524670389,-1.6034144679712896,2.109857635288732,-3.22735583,-1.5632142604213257,2.0542108996793798,baseline standard rerun; targetless COLMAP + single Ref14 metric registration; min_area_px2=500; GT evaluation-only
AP03_targetless_colmap_single_ref14_metric_registration,camera,cam_edge_5,14,541.3079252676241,1.4882043352035992,-540.756132531438,12.985057663608924,-20.699356624160604,0.4512975446856198,0.4782701161974219,1.9317680038298561,5.85885887,0.34841953956133265,2.138761570071462,baseline standard rerun; targetless COLMAP + single Ref14 metric registration; min_area_px2=500; GT evaluation-only
