camera,trans_err_cm,rot_err_deg,dx_cm,dy_cm,dz_cm,est_x_m,est_y_m,est_z_m,gt_x_m,gt_y_m,gt_z_m,est_roll_deg,est_pitch_deg,est_yaw_deg,gt_roll_deg,gt_pitch_deg,gt_yaw_deg
cam_edge_0,10.541,2.032,-3.189,1.218,9.972,0.555917,-1.722373,2.187052,0.587808,-1.734555,2.087328,-114.567,-2.437,-0.780,-112.765,-1.497,-0.827
cam_edge_1,16.640,1.749,-16.338,3.119,-0.473,-4.137552,0.506278,2.126815,-3.974167,0.475086,2.131543,-104.907,-0.021,-115.111,-106.364,0.768,-114.560
cam_edge_3,8.551,1.908,-8.213,-2.374,-0.194,-3.309482,-1.586950,2.052273,-3.227356,-1.563214,2.054211,-108.771,0.402,-60.785,-109.390,1.967,-59.900
cam_edge_5,118.616,9.025,-2.170,-99.445,64.619,5.837154,-0.646035,2.784952,5.858859,0.348420,2.138762,-114.094,4.758,105.897,-109.271,4.073,113.877
