variant,AP01_STATUS,AP02_STATUS,AP03_STATUS,PAIRWISE_STATUS,SECONDARY_STATUS
density_route2_125pct_recaptured,OK_FULL,OK_FULL,OK_FULL,OK,OK
density_stride_16_6p25pct,PARTIAL_2_OF_4,OK_FULL,FAILED_NO_PAIR,OK,OK
density_stride_1_100pct,OK_FULL,OK_FULL,OK_FULL,OK,OK
density_stride_2_50pct,OK_FULL,OK_FULL,OK_FULL,OK,OK
density_stride_4_25pct,OK_FULL,OK_FULL,OK_FULL,OK,OK
density_stride_8_12p5pct,OK_FULL,OK_FULL,OK_FULL,OK,OK
density_stride_8_offset4,OK_FULL,OK_FULL,PARTIAL_3_OF_4,OK,OK
