group,variant,method,status,mean_pair_t_cm,median_pair_t_cm,max_pair_t_cm,mean_pair_r_deg,median_pair_r_deg,max_pair_r_deg,mean_baseline_error_cm,mean_direction_error_deg,worst_pair,worst_pair_t_cm,worst_pair_r_deg,source,note,camera_count,available_cameras,missing_cameras,pair_count_ok,pair_count_total,pair_coverage,failure_reason
moving_cam/fov,fov_100deg,AP01,OK,13.442140060823625,12.793847514613187,23.876045842788184,2.22275918904253,2.4903235572496785,2.7388077506434785,7.458157507471555,1.0898941758265301,cam1-cam5,23.876045842788184,2.7333944572710145,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,AP01 pairwise uses cam3-local camera map; no Ref14/world GT anchor and no map alignment.,,,,,,,
moving_cam/fov,fov_100deg,AP02,OK_FULL,16.114092524273246,12.808153104765266,28.07901329966026,0.958409713023355,0.9567871750754193,1.3678236366891354,12.636873771439028,0.951029552928565,cam1-cam5,28.07901329966026,0.9077401618777575,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,
moving_cam/fov,fov_100deg,AP03,OK,310.9047932154887,310.261813978441,619.9239198748074,22.840841427015153,22.858455621340326,45.556938717148185,245.52313756306702,20.34486866189913,cam0-cam5,619.9239198748074,45.55297736658846,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,,,,,,,
moving_cam/fov,fov_140deg_extreme,AP01,OK,15.432193391257123,17.071689085100314,20.93791865947034,2.632967951041923,2.6604175384853166,3.5682097775676502,6.9906327849680245,1.4665044280868023,cam0-cam5,20.93791865947034,3.2125275058265386,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,AP01 pairwise uses cam3-local camera map; no Ref14/world GT anchor and no map alignment.,,,,,,,
moving_cam/fov,fov_140deg_extreme,AP02,OK_FULL,22.085750007722726,19.504812187627635,39.05843567574839,1.1775429401913702,1.303306292753807,1.4764272490104386,18.541571994529793,1.1949268939316158,cam1-cam5,39.05843567574839,1.0441051662309127,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,
moving_cam/fov,fov_140deg_extreme,AP03,OK,18.954967475402345,17.110638649668417,31.478962219904787,0.12828364768504666,0.11108666766954585,0.21384500816924107,18.935826984778668,0.08009411285792327,cam1-cam5,31.478962219904787,0.11031946264655824,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,,,,,,,
moving_cam/fov,fov_40deg,AP01,PARTIAL_3_OF_4,9.609117794113425,7.288205483244867,14.845608942647859,1.9581498575465333,1.877309392382426,2.1355094683663003,6.396122745096451,1.0503075627343843,cam0-cam1,14.845608942647859,1.877309392382426,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,Metrics are computed over available pairs only. Partial means are not directly comparable with full six-pair means.,3,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,3,6,0.5,cam_edge_5: RuntimeError: No relay multichain aggregate row found for cam3_to_cam5 / COLMAP_motion
moving_cam/fov,fov_40deg,AP02,OK_FULL,594.4016974138632,594.6751502368303,1176.1421949797127,71.84898350251716,71.97304058170468,142.48607835403683,238.736557902084,62.86879315409627,cam3-cam5,1176.1421949797127,141.3122521930103,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,
moving_cam/fov,fov_40deg,AP03,PARTIAL_3_OF_4,15.128432107313197,14.344206977504676,20.893207434673506,0.788056416231426,0.9928328811828058,1.059879424832758,13.350980784578253,1.1170417649949111,cam0-cam1,20.893207434673506,1.059879424832758,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,Metrics are computed over available pairs only. Partial means are not directly comparable with full six-pair means.,3,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,3,6,0.5,
moving_cam/fov,fov_69deg_baseline,AP01,OK,12.39309687274325,11.107621921475406,26.133539106382482,2.1091446016278046,2.2745569396089547,2.6247914226215263,6.733822006341214,1.003002693008818,cam1-cam5,26.133539106382482,2.6247914226215263,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,AP01 pairwise uses cam3-local camera map; no Ref14/world GT anchor and no map alignment.,,,,,,,
