group,variant,alignment,camera_count,max_rotation_error_deg,max_translation_error_cm,mean_rotation_error_deg,mean_translation_error_cm,median_rotation_error_deg,median_translation_error_cm,method,source_file,status,available_cameras,missing_cameras,failure_reason
moving_cam/motion_blur,moving_blur_k00_baseline,SE3_available_static_cameras_no_scale,4,1.1939975483269536,14.141271637311064,0.8073122700117802,8.638281984775693,0.7168965652860584,8.379190030430934,AP02,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,OK_FULL,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
moving_cam/motion_blur,moving_blur_k00_baseline,SE3_all_static_cameras_no_scale,4,0.115036,11.242463,0.070620,6.645094,0.064660,6.347192,AP03,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,OK,,,
moving_cam/motion_blur,moving_blur_k09_mild,SE3_all_static_cameras_no_scale,4,2.057806,13.584622,1.614603,9.132616,1.669910,9.205585,AP01,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,OK,,,
moving_cam/motion_blur,moving_blur_k09_mild,SE3_available_static_cameras_no_scale,4,4.663805640019951,22.8714113460185,2.6605298602910845,16.90981029435392,2.0420814098238553,16.018995840718883,AP02,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,OK_FULL,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
moving_cam/motion_blur,moving_blur_k09_mild,SE3_all_static_cameras_no_scale,4,0.194103,2.931000,0.127555,2.300146,0.110042,2.293026,AP03,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,OK,,,
moving_cam/motion_blur,moving_blur_k21_strong,SE3_available_static_cameras_no_scale,3,2.7387073238534647,49.37358372357152,2.0111732025350673,32.930250261191865,1.8109532704494586,30.57344516982912,AP01,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,PARTIAL_3_OF_4,cam_edge_1;cam_edge_3;cam_edge_5,cam_edge_0,cam_edge_0: RuntimeError: No relay multichain aggregate row found for cam3_to_cam0 / COLMAP_motion
moving_cam/motion_blur,moving_blur_k21_strong,SE3_available_static_cameras_no_scale,3,0.7573435603946455,8.02231413252763,0.5295408060435421,5.977712154747397,0.5878877614163971,6.223079600159823,AP02,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,PARTIAL_3_OF_4,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,
moving_cam/motion_blur,moving_blur_k21_strong,SE3_available_static_cameras_no_scale,3,1.7579100405546517,37.3311618470297,1.1798374250155474,27.19114752688395,1.1486070581859802,28.173051680856197,AP03,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,PARTIAL_3_OF_4,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,
moving_cam/motion_blur,moving_blur_k41_extreme,NOT_RUN_INSUFFICIENT_CAMERAS,2,,,,,,,AP01,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,PARTIAL_2_OF_4_NO_SE3_ALIGNMENT,cam_edge_1;cam_edge_3,cam_edge_0;cam_edge_5,cam_edge_0: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv; cam_edge_5: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv
moving_cam/motion_blur,moving_blur_k41_extreme,SE3_available_static_cameras_no_scale,3,0.7573423501886078,8.022316011749572,0.5295400469613861,5.9777142790988735,0.5878871812061908,6.223080946466773,AP02,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,PARTIAL_3_OF_4,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,
moving_cam/motion_blur,moving_blur_k41_extreme,NOT_RUN_INSUFFICIENT_CAMERAS,0,,,,,,,AP03,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,FAILED_NO_STATIC_CAMERAS,,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,RuntimeError: Too few marker-size scale observations: 0
moving_cam/res,moving_res_1280x720_baseline,SE3_all_static_cameras_no_scale,4,1.600869,10.779713,1.321836,7.355471,1.294881,6.799184,AP01,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,OK,,,
moving_cam/res,moving_res_1280x720_baseline,SE3_available_static_cameras_no_scale,4,1.1939975483269536,14.141271637311064,0.8073122700117802,8.638281984775693,0.7168965652860584,8.379190030430934,AP02,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,OK_FULL,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
moving_cam/res,moving_res_1280x720_baseline,SE3_all_static_cameras_no_scale,4,0.107663,11.890755,0.080173,7.191911,0.077694,7.000179,AP03,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,OK,,,
moving_cam/res,moving_res_160x90_extreme_pixel,NOT_RUN_INSUFFICIENT_CAMERAS,2,,,,,,,AP01,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,PARTIAL_2_OF_4_NO_SE3_ALIGNMENT,cam_edge_1;cam_edge_3,cam_edge_0;cam_edge_5,cam_edge_0: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv; cam_edge_5: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv
