group,variant,parameter,AP01_STATUS,AP02_STATUS,AP02_GT_FULL_MAP_STATUS,AP03_STATUS,PAIRWISE_STATUS,SECONDARY_STATUS
world/route,route1,Route 1,OK,OK,OK,OK,OK,OK
world/route,route2,Route 2,OK,OK,OK,OK,OK,OK
