approach,entity_type,entity_id,marker_id,translation_error_cm,rotation_error_deg,dX_cm,dY_cm,dZ_cm,est_ref14_x_m,est_ref14_y_m,est_ref14_z_m,gt_ref14_x_m,gt_ref14_y_m,gt_ref14_z_m,note
AP03_targetless_colmap_single_ref14_scale,camera,cam_edge_0,14,1018.983681885137,135.96012153118764,-181.96725044385795,531.1307813572872,-850.3621327463318,-1.2318645744385794,3.576752553144755,-6.41629302781908,0.58780793,-1.734555260428118,2.087328299644237,variant=res_1920x1080; single Ref14 metric registration; min_area_px2=500; GT evaluation-only
AP03_targetless_colmap_single_ref14_scale,camera,cam_edge_1,14,447.2200616143308,64.82624501349592,379.01602688004556,-80.81233044935401,-223.2084275419161,-0.1840070511995443,-0.33303680493072685,-0.10054159532171922,-3.97416732,0.47508649956281324,2.131542680097442,variant=res_1920x1080; single Ref14 metric registration; min_area_px2=500; GT evaluation-only
AP03_targetless_colmap_single_ref14_scale,camera,cam_edge_3,14,407.88332671452633,63.73080356752095,323.2912300355657,153.64365096542113,-195.56384459254184,0.005556470355657539,-0.02677775076711438,0.09857245375396129,-3.22735583,-1.5632142604213257,2.0542108996793798,variant=res_1920x1080; single Ref14 metric registration; min_area_px2=500; GT evaluation-only
AP03_targetless_colmap_single_ref14_scale,camera,cam_edge_5,14,603.4999423550455,124.56635953729631,-181.63839806792527,-533.4929873993607,-215.88169252061778,4.042474889320747,-4.986510334432275,-0.020055355134715402,5.85885887,0.34841953956133265,2.138761570071462,variant=res_1920x1080; single Ref14 metric registration; min_area_px2=500; GT evaluation-only
