method,label,from_camera,to_camera,pair,transform_convention,baseline_m,direction_x,direction_y,direction_z,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,rvec_x,rvec_y,rvec_z
ap02,baseline,cam_edge_0,cam_edge_1,cam_edge_0-cam_edge_1,T_from_camera_to_camera = inv(T_reference_from_camera) @ T_reference_to_camera,5.108124229667463,-0.907631199375427,-0.19119474836476327,0.37369797178745673,-4.6362929211317585,-0.9766465267072209,1.9088956642650958,114.93107752213344,57.14388023632181,137.57712921923246,0.06659688091443289,1.856625534290695,0.6978730483346899
ap02,baseline,cam_edge_0,cam_edge_3,cam_edge_0-cam_edge_3,T_from_camera_to_camera = inv(T_reference_from_camera) @ T_reference_to_camera,3.846839050498169,-0.9996198206995217,-0.018530094717013987,0.020416896297786858,-3.845376561918898,-0.07128229196683922,0.07854051396829798,21.86502332889499,50.163825222718536,36.64252146437585,0.06740988360498648,0.9394793228392672,0.4250933465193174
ap02,baseline,cam_edge_0,cam_edge_5,cam_edge_0-cam_edge_5,T_from_camera_to_camera = inv(T_reference_from_camera) @ T_reference_to_camera,5.724250787126994,0.9240635894071937,-0.13397141778250576,0.357991818271366,5.289571729019524,-0.766885993694028,2.0492349475248908,120.24139457890492,-58.675727563991465,-144.15917739273968,0.0007967876098306446,-1.8898655395923378,-0.6721295248483657
ap02,baseline,cam_edge_1,cam_edge_3,cam_edge_1-cam_edge_3,T_from_camera_to_camera = inv(T_reference_from_camera) @ T_reference_to_camera,2.189847725536086,0.7088001699723602,-0.17049812007489257,0.6844944923796547,1.5521644400735641,-0.373364920454182,1.4989387072795646,5.252541711456015,-52.09122773379657,-19.51216222327468,-0.07014980745949904,-0.9128797695907435,-0.274860252424043
ap02,baseline,cam_edge_1,cam_edge_5,cam_edge_1-cam_edge_5,T_from_camera_to_camera = inv(T_reference_from_camera) @ T_reference_to_camera,9.929072647974664,-0.40450100118313015,-0.2534839943648005,0.878706324458127,-4.016319826925785,-2.5168609951469048,8.72473893177954,133.27132309428282,43.9780754709131,156.55954749914514,0.06924980781904184,2.173428785843598,0.7304141839222159
ap02,baseline,cam_edge_3,cam_edge_5,cam_edge_3-cam_edge_5,T_from_camera_to_camera = inv(T_reference_from_camera) @ T_reference_to_camera,9.370954131700051,0.31118894146085924,-0.33403172522781177,0.8897102052094276,2.9161372967220043,-3.130195975642459,8.337433523522986,141.69493691138763,-7.740953138716306,176.41906473223597,-0.15675459651652018,-2.860626830104351,-1.000303708213914
