camera,status,detected_ids,num_detected,debug_image
front_static_camera,detected,4 7,2,results/bus/aruco_visibility/debug_images/front_static_camera_aruco_visibility.png
rear_static_camera,detected,9 6 1,3,results/bus/aruco_visibility/debug_images/rear_static_camera_aruco_visibility.png
