frame_index,source_name,time_s,sharpness,center_x,center_y,area_fraction,angle_deg,top_bottom_log_ratio,left_right_log_ratio,selected_for_calibration,view_reprojection_rmse_px
0,,0.0,238.033850961201,481.3424377441406,1098.8898162841797,0.09981047040643189,-93.52428860265653,0.03658707432714418,0.07902079245439404,True,0.2338331788778305
10,,0.3333333333333333,217.9809651592353,501.4099706013997,1107.6024386088054,0.09861205446974863,-93.0945716871447,0.034788564636933604,0.07836209933033993,False,
20,,0.6666666666666666,240.4643970421819,526.0970300038656,1108.4470125834148,0.09912867697058966,-92.48181743166123,0.03059925612143412,0.07753748250056199,False,
30,,1.0,237.2198889570012,539.7511959075928,1105.0730438232422,0.09836837412544372,-91.618195907601,0.02326432901159142,0.07314989734914969,True,0.2414478361606598
40,,1.3333333333333333,231.3755196855263,552.5014527638754,1085.4058825174968,0.09826983988524587,-90.81567858674637,0.016638030778264364,0.06645675103518082,False,
50,,1.6666666666666667,179.40619980070463,565.9043337504069,1065.8238436381023,0.09658445451492567,-89.99528961769275,0.0076218505131336,0.05707142462213186,True,0.26840752363204956
60,,2.0,184.43796156400563,546.4336617787679,1071.533270517985,0.09345090039853172,-89.07680826506558,-0.00013174650662778757,0.04649361798592131,False,
70,,2.3333333333333335,75.16224044664405,534.2555306752523,1053.1866544087727,0.0934514278591666,-88.36900398354263,-0.010663835734860646,0.030089059449364217,True,0.4266025722026825
80,,2.6666666666666665,222.52629392910657,539.326161702474,1036.0385411580403,0.09081998306699708,-87.65986294512082,-0.014114842584484942,0.02126760958476867,False,
90,,3.0,223.06673704649504,541.3958428700765,1004.6272850036621,0.09104720919392689,-87.14900152471525,-0.018702822303966263,0.004495251950229285,False,
100,,3.3333333333333335,281.75576139203594,557.412384668986,981.0621134440104,0.08856118108957207,-86.60451623263221,-0.022871072669163463,-0.009055970852698667,True,0.2248658388853073
110,,3.6666666666666665,122.42049442221852,574.8683052062988,962.4356600443522,0.08338396946074175,-86.17376595544384,-0.026887058755691712,-0.022721908684151002,True,0.25602245330810547
120,,4.0,171.24093149735168,564.2490940093994,951.6544825236002,0.08420170737168833,-85.90570194936531,-0.027012563464296264,-0.03250231679827141,False,
130,,4.333333333333333,275.5629367690071,562.0321102142334,955.2373631795248,0.0831710306621994,-85.6853600924109,-0.025895933086640732,-0.03869768913019217,False,
140,,4.666666666666667,217.818920556405,553.9471136728922,967.4978370666504,0.08146236170645958,-85.55361000151971,-0.02516213643556458,-0.04199745359563774,False,
150,,5.0,302.5722134624477,551.3389905293783,973.9233856201172,0.08075448783840936,-85.42684313544802,-0.024536308362465144,-0.043189502699523444,True,0.20278745889663696
160,,5.333333333333333,314.8712845479447,540.0290609995524,974.1464029947916,0.08055042294266182,-85.27488916371092,-0.022750192523212594,-0.0443695978674063,False,
170,,5.666666666666667,327.415688866802,528.8732000986735,978.7454376220703,0.08074128228591207,-84.86583982062423,-0.021008200462204512,-0.043533740597521534,False,
180,,6.0,344.09952276949844,516.7584781646729,989.7721455891927,0.08086920816968982,-84.1631757853886,-0.019282330643269955,-0.03941540125999419,True,0.20653016865253448
190,,6.333333333333333,328.1411401288654,499.4263223012288,1009.457155863444,0.08130693783266367,-83.2415812745951,-0.01592813822708813,-0.034185740004871415,False,
200,,6.666666666666667,303.5954141153792,493.6614240010579,1041.4697036743164,0.08232174300902971,-82.22827517607283,-0.012390998918958592,-0.023276979483420855,True,0.18172891438007355
210,,7.0,176.14479131476926,521.4520626068115,1066.0482012430828,0.087003492149753,-81.27235587331951,-0.007950587665107391,-0.008594807673350894,True,0.19771476089954376
