pair,method,root_cam,target_cam,root_marker,target_marker,root_frame,target_frame,translation_error_m,rotation_error_deg,est_x,est_y,est_z,gt_x,gt_y,gt_z,root_static_dist_m,target_static_dist_m,root_moving_dist_m,target_moving_dist_m,root_moving_score,target_moving_score
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,8,10,91,105,0.08880689083064543,3.8409298220935115,2.893552015145944,-3.189751240545581,8.246340745261575,2.898374813490835,-3.101877728211797,8.2582424386392,6.0565977063003755,3.643505041653401,1.2628187589997084,1.3493353796493701,9016.70499648,5575.92229152
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,8,11,91,97,0.1713989029409258,4.62214614031032,2.8691387806493047,-2.9847295882246807,8.379894202336242,2.898374813490835,-3.101877728211797,8.2582424386392,6.0565977063003755,2.326032331262132,1.2628187589997084,1.4752101326321596,9016.70499648,2757.24610995
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,8,12,91,111,0.461312322207696,7.906874821040308,2.75354039564724,-2.740316410234165,8.505437631494647,2.898374813490835,-3.101877728211797,8.2582424386392,6.0565977063003755,2.858260077066848,1.2628187589997084,1.1940098058862572,9016.70499648,11073.9924127
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,5,12,86,111,0.7736403454554176,37.953360378093784,2.510108437348939,-2.6665136089788266,7.750082336940418,2.898374813490835,-3.101877728211797,8.2582424386392,5.376474499708661,2.858260077066848,1.6863012363611714,1.1940098058862572,3312.13489912,11073.9924127
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,5,11,86,97,0.8585479897102901,38.787427679844626,2.5602591849637797,-2.840812397436297,7.513509355280865,2.898374813490835,-3.101877728211797,8.2582424386392,5.376474499708661,2.326032331262132,1.6863012363611714,1.4752101326321596,3312.13489912,2757.24610995
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,5,10,86,105,1.0438901625209511,42.38882912568267,2.5457168130951113,-2.9402957744375464,7.28910350206746,2.898374813490835,-3.101877728211797,8.2582424386392,5.376474499708661,3.643505041653401,1.6863012363611714,1.3493353796493701,3312.13489912,5575.92229152
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,3,10,62,105,1.0723631848370332,61.355100471722736,3.002290237997847,-3.040108517212862,9.32376998371531,2.898374813490835,-3.101877728211797,8.2582424386392,4.420643217084601,3.643505041653401,1.8860038014353508,1.3493353796493701,1862.89543253,5575.92229152
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,3,11,62,97,1.3155836305788735,58.051466865804066,3.004721439866386,-2.992035370234703,9.564911999201342,2.898374813490835,-3.101877728211797,8.2582424386392,4.420643217084601,2.326032331262132,1.8860038014353508,1.4752101326321596,1862.89543253,2757.24610995
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,7,12,75,111,1.4105438672995299,49.20739979939503,2.655372308957554,-2.201645745920323,7.199863412757438,2.898374813490835,-3.101877728211797,8.2582424386392,5.713580653871969,2.858260077066848,1.9488898825884073,1.1940098058862572,2893.22450695,11073.9924127
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,7,11,75,97,1.5261202142561132,48.56583683569685,2.651668382398787,-2.3602205396867566,6.947470353214705,2.898374813490835,-3.101877728211797,8.2582424386392,5.713580653871969,2.326032331262132,1.9488898825884073,1.4752101326321596,2893.22450695,2757.24610995
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,3,12,62,111,1.5895058421777795,57.09409684159496,2.959527227457416,-2.8592029358970037,9.827923345625816,2.898374813490835,-3.101877728211797,8.2582424386392,4.420643217084601,2.858260077066848,1.8860038014353508,1.1940098058862572,1862.89543253,11073.9924127
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,7,10,75,105,1.7043201819555551,52.119239867058525,2.60063216897422,-2.434321666309794,6.718623815578555,2.898374813490835,-3.101877728211797,8.2582424386392,5.713580653871969,3.643505041653401,1.9488898825884073,1.3493353796493701,2893.22450695,5575.92229152
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,6,12,76,111,2.658972406276511,96.66579306301497,1.6644812851424633,-3.5329046560856225,5.942674083896124,2.898374813490835,-3.101877728211797,8.2582424386392,5.616000810218128,2.858260077066848,1.7324977562827302,1.1940098058862572,4237.81331492,11073.9924127
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,6,11,76,97,2.8490320080919322,98.81440325498099,1.7663020469834574,-3.4695417528398305,5.669764546236216,2.898374813490835,-3.101877728211797,8.2582424386392,5.616000810218128,2.326032331262132,1.7324977562827302,1.4752101326321596,4237.81331492,2757.24610995
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,6,10,76,105,3.0070575822276595,102.67321776474094,1.819527889031903,-3.3488108110286845,5.462261632369438,2.898374813490835,-3.101877728211797,8.2582424386392,5.616000810218128,3.643505041653401,1.7324977562827302,1.3493353796493701,4237.81331492,5575.92229152
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,3,0,62,38,3.4596093938685417,10.558559934556962,2.120772146830082,-0.9247947079222311,5.684424112938569,2.898374813490835,-3.101877728211797,8.2582424386392,4.420643217084601,8.769124557170892,1.8860038014353508,1.3549964820651028,1862.89543253,6866.1756522
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,8,0,91,38,4.353272514828043,72.73012523000199,0.7538052557023125,-5.186845755809079,5.095219940448409,2.898374813490835,-3.101877728211797,8.2582424386392,6.0565977063003755,8.769124557170892,1.2628187589997084,1.3549964820651028,9016.70499648,6866.1756522
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,5,0,86,38,5.339289674031824,30.142330469165763,0.8088401929440101,-1.929987513836739,3.4866040807781316,2.898374813490835,-3.101877728211797,8.2582424386392,5.376474499708661,8.769124557170892,1.6863012363611714,1.3549964820651028,3312.13489912,6866.1756522
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,6,0,76,38,5.7387825173735765,35.46153873530433,1.8974704030580938,0.7320908398336892,4.107037774673795,2.898374813490835,-3.101877728211797,8.2582424386392,5.616000810218128,8.769124557170892,1.7324977562827302,1.3549964820651028,4237.81331492,6866.1756522
cam3_to_cam5,COLMAP_motion,cam_edge_3,cam_edge_5,7,0,75,38,5.9659833202449475,23.124103838611234,0.8184590537184171,-0.7683624053665521,3.176745252992267,2.898374813490835,-3.101877728211797,8.2582424386392,5.713580653871969,8.769124557170892,1.9488898825884073,1.3549964820651028,2893.22450695,6866.1756522
cam3_to_cam5,GT_motion,cam_edge_3,cam_edge_5,8,10,91,105,0.22205997523359344,8.480134667619085,3.086992112906014,-3.1658498941908793,8.16005023455958,2.898374813490835,-3.101877728211797,8.2582424386392,6.0565977063003755,3.643505041653401,1.2628187589997084,1.3493353796493701,9016.70499648,5575.92229152
cam3_to_cam5,GT_motion,cam_edge_3,cam_edge_5,7,11,75,97,0.23355760366214084,14.28431494868606,3.1285213165494574,-3.141646915927512,8.258633676062578,2.898374813490835,-3.101877728211797,8.2582424386392,5.713580653871969,2.326032331262132,1.9488898825884073,1.4752101326321596,2893.22450695,2757.24610995
cam3_to_cam5,GT_motion,cam_edge_3,cam_edge_5,7,10,75,105,0.3209666429329008,10.576207778907708,2.72137884806543,-3.364796391590474,8.308896071736097,2.898374813490835,-3.101877728211797,8.2582424386392,5.713580653871969,3.643505041653401,1.9488898825884073,1.3493353796493701,2893.22450695,5575.92229152
