residual_evaluation_index,source,solver_iteration,solver_nfev,elapsed_seconds,robust_cost,reprojection_rmse_px,mean_reprojection_error_px,maximum_reprojection_error_px,parameter_step_norm
1,initial_diagnostic,,,0.0666068840000662,65961.18338925915,18.798529299777382,10.67441089998473,179.16553791617164,
2,solver_residual_call,,,0.13184215300134383,65961.18338925915,18.798529299777382,10.67441089998473,179.16553791617164,0.0
3,solver_residual_call,,,0.19734706100280164,65961.18341807416,18.798529353693013,10.674410893254205,179.16553791617164,2.9204854978814865e-08
4,solver_residual_call,,,0.26036037800076883,65961.18360959511,18.798529335427347,10.67441092672341,179.16553791617164,3.278670705116082e-08
5,solver_residual_call,,,0.3229206910036737,65961.18360380184,18.79852932775171,10.67441092570506,179.16553791617164,2.1073424255447017e-08
6,solver_residual_call,,,0.3875770980012021,65961.18349835082,18.79852931477488,10.674410913163529,179.16553791617164,2.1073424255447017e-08
7,solver_residual_call,,,0.45097008300217567,65961.18343457908,18.798529318976847,10.674410903357217,179.16553791617164,2.9966825339628183e-08
8,solver_residual_call,,,0.5130995270010317,65961.18337571375,18.798529284101818,10.674410901222721,179.16553791617164,4.049143750091428e-08
9,solver_residual_call,,,0.5772156280072522,65961.18317456638,18.798529288543442,10.67441086847116,179.16553791617164,3.5614041621320386e-08
10,solver_residual_call,,,0.6404030190024059,65961.18174329339,18.79852918943941,10.674410654764294,179.16553791617164,3.146651514255167e-08
11,solver_residual_call,,,0.7034587910020491,65961.18296926697,18.798529265864246,10.674410830561808,179.16553791617164,3.2518456005774733e-08
12,solver_residual_call,,,0.7658583940065,65961.18314838679,18.79852928251663,10.674410867809925,179.16553791617164,6.318621741938653e-08
13,solver_residual_call,,,0.8306381520014838,65961.1835288427,18.798529310307767,10.67441092192409,179.16553791617164,6.198761816029471e-08
14,solver_residual_call,,,0.897516731005453,65961.18365704699,18.798529315895227,10.674410937165858,179.16553791617164,3.715239335760101e-08
15,solver_residual_call,,,0.9638730600054259,65961.18416355678,18.798529341374124,10.674410946785898,179.16553791617164,4.2704505957681035e-08
