approach,method,evaluation,entity_type,entity_id,translation_error_cm,rotation_error_deg,delta_x_cm,delta_y_cm,delta_z_cm,est_ref14_x_m,est_ref14_y_m,est_ref14_z_m,gt_ref14_x_m,gt_ref14_y_m,gt_ref14_z_m
AP03,Targetless COLMAP + Multi-ArUco Sim3,Ref14-frame static camera evaluation,static_camera,cam_edge_0,192.00687697498694,140.09982735895707,-33.590585547380066,150.47661134548187,-114.4338359326152,0.25190207452619934,-0.22978914697329925,0.9429899403180848,0.58780793,-1.734555260428118,2.087328299644237
AP03,Targetless COLMAP + Multi-ArUco Sim3,Ref14-frame static camera evaluation,static_camera,cam_edge_1,444.62540818158755,167.81017970592558,422.60700661797193,-70.48755363952667,-118.85527476706929,0.25190274617971964,-0.2297890368324534,0.942989932426749,-3.97416732,0.47508649956281324,2.131542680097442
AP03,Targetless COLMAP + Multi-ArUco Sim3,Ref14-frame static camera evaluation,static_camera,cam_edge_3,388.81939136282267,159.39780596002785,347.9255555554743,133.34248926604957,-111.12203853198454,0.2518997255547434,-0.22978936776083,0.9429905143595343,-3.22735583,-1.5632142604213257,2.0542108996793798
AP03,Targetless COLMAP + Multi-ArUco Sim3,Ref14-frame static camera evaluation,static_camera,cam_edge_5,513.669804442371,166.8079750023624,-480.89019194765126,-8.684438355727941,-180.34930500243195,1.0499569505234874,0.26157515600405323,0.3352685200471426,5.85885887,0.34841953956133265,2.138761570071462
