marker_id,reference_marker_id,coordinate_frame,entity_type,entity_id,source,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,rvec_x,rvec_y,rvec_z
0,3,marker_3_reference_frame,marker,0,ba_with_moving,0.4425622080816952,-0.1006570836288978,-0.014647897711751585,-60.878865182154584,-31.98230375209696,-3.2223015046815098,-1.0491219898801158,-0.4756146987147093,-0.346125209656256
2,3,marker_3_reference_frame,marker,2,ba_with_moving,-0.5691064961359915,-0.518290682342395,2.552608578406826,11.204807299931876,-33.57253519329312,-3.4283292193714026,0.1723454599924997,-0.5893972516129223,-0.0006507742965670796
3,3,marker_3_reference_frame,marker,3,ba_with_moving,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
4,3,marker_3_reference_frame,marker,4,ba_with_moving,-1.2460562329260008,-0.5421029446589013,3.6945152148784435,-64.52313523388774,-34.28558024402186,-3.944393331213849,-1.1109734034307208,-0.49627837492695864,-0.3966200368596078
5,3,marker_3_reference_frame,marker,5,ba_with_moving,6.711769127995416,0.8958224195537937,3.3498485194156298,115.35874029542298,-66.24076565041709,-107.2389818616135,0.42152775090221856,-1.6967455812196246,-0.1978053070765294
6,3,marker_3_reference_frame,marker,6,ba_with_moving,0.2657419007186587,0.8480572547044112,2.579854645705503,153.741297948665,-49.56630737165735,-151.68781948769245,0.306888588366353,-2.181009932316064,-0.24799207364435905
7,3,marker_3_reference_frame,marker,7,ba_with_moving,1.3635286961763877,0.6787434203096401,1.6556052782691126,90.44537625753229,-67.19063959580781,-121.45667574807382,-0.1165053414944251,-1.6179315404955565,-0.7323860260330171
8,3,marker_3_reference_frame,marker,8,ba_with_moving,3.370771440342171,2.140060079816779,0.7384293164205471,21.40504947536771,-26.6762638890854,3.397354751356643,0.38048135863135096,-0.44930532132455286,0.14453478752903567
9,3,marker_3_reference_frame,marker,9,ba_with_moving,1.9309578951589348,1.5047481421241296,-0.002521210660419298,10.237893909289207,-14.93925973650147,5.4066500539028155,0.1898422762153352,-0.25151329154064084,0.1168771029843869
10,3,marker_3_reference_frame,marker,10,ba_with_moving,2.6871003469847032,2.1994934952747376,0.18606435706180122,36.097159760320416,-60.82461434164826,-19.718436810156803,0.38301086571671544,-1.101276662250759,0.02990766380962235
12,3,marker_3_reference_frame,marker,12,ba_with_moving,0.8573082129450431,0.7822424596739448,0.8133692749051977,-45.200860545374184,62.31373475542024,55.368954235419004,-1.186062615172101,0.6244858023870654,1.2553707402479137
15,3,marker_3_reference_frame,marker,15,ba_with_moving,-1.086749545292642,1.2265058763604053,0.3556787744014843,32.19254722294837,48.92614997126172,34.417112615160114,0.25804728135759575,0.9512414883490471,0.31182555116537175
16,3,marker_3_reference_frame,marker,16,ba_with_moving,-0.9428029518731486,0.22259296639942847,0.07492729488987197,35.12464124932274,50.74115432697688,39.495000030387175,0.24939124822393846,1.0023034722628517,0.35620364011031774
17,3,marker_3_reference_frame,marker,17,ba_with_moving,1.0199485836904845,1.9736617193230677,-0.08470677587724357,20.634340730793987,-17.260878643448404,7.529314218555083,0.3766831158877393,-0.27423487409891284,0.1832738780510348
18,3,marker_3_reference_frame,marker,18,ba_with_moving,-0.39431638546835096,0.29935494557854514,3.658902191303784,149.3141664536751,-46.62538588297812,-146.5822718607325,0.38412669535145905,-2.186136394407819,-0.30615890602190315
19,3,marker_3_reference_frame,marker,19,ba_with_moving,-1.3057954184539777,0.8450847092502365,1.4052732928990928,30.016323905041318,45.71971362447088,33.35500771589642,0.2518233536414687,0.891353041040344,0.3313102905034009
20,3,marker_3_reference_frame,marker,20,ba_with_moving,0.9529608430143266,0.4345096538332649,1.1656118322094668,28.67825683216258,-28.636607728212972,-8.247786992371996,0.45322179606406326,-0.5228533264841243,-0.013097326433259135
