reference_frame,transform_convention,entity_type,entity_id,source,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,rvec_x,rvec_y,rvec_z,estimate_status,quality_status,deployment_eligible,evaluation_status
resolved root camera,T_reference_camera (camera pose expressed in reference frame),static_camera,cam_edge_0,moving_relay_multichain_colmap_motion_aruco_metric_scale,2.044566475,-1.179541085,3.026527337,10.524065614000001,-51.636463932,-29.976476485,-0.06763777075203474,-0.9187886953793271,-0.4032628756938006,available,accepted_legacy_available_aggregate,True,available
resolved root camera,T_reference_camera (camera pose expressed in reference frame),static_camera,cam_edge_1,direct_static_aruco_multimarker,-2.176313822,-0.078476837,0.376815068,17.469363489000003,50.431172035,25.658836266999998,0.08412922910664297,0.9172038000833286,0.28172372313168026,available,accepted_legacy_available_aggregate,True,available
resolved root camera,T_reference_camera (camera pose expressed in reference frame),static_camera,cam_edge_3,gauge_identity,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,available,gauge_identity,True,available
resolved root camera,T_reference_camera (camera pose expressed in reference frame),static_camera,cam_edge_5,moving_relay_multichain_colmap_motion_aruco_metric_scale,3.231356409,-2.863275299,8.124857152,141.195696237,-8.066959959000002,177.972405257,-0.12107449550424478,-2.845495166608859,-1.006169987685249,available,accepted_legacy_available_aggregate,True,available
