variant,all_observations,moving_observations,static_observations,unique_markers,unique_images_with_observations
res_1280x720_baseline,310,286,24,15,160
res_1920x1080,307,283,24,15,161
res_320x180_extreme,235,211,24,15,137
res_640x360,291,267,24,15,158
res_960x540,307,283,24,15,162
