method,label,anchor_marker_id,camera_id,parent_frame,x,y,z,roll,pitch,yaw,qx,qy,qz,qw,deployment_eligible,quality_status
ap02,combined_nfev_1__ref_mode_auto__static_nfev_1,14,cam_edge_0,evaluation_anchor_marker_14,0.5360289470169003,-1.744786612045103,2.0831768581415036,-1.9600060216218649,-0.01114840415986698,-0.04010313761940076,-0.8303814502773336,0.013547132153309173,-0.015796618764531353,0.5568065993514636,True,accepted
ap02,combined_nfev_1__ref_mode_auto__static_nfev_1,14,cam_edge_1,evaluation_anchor_marker_14,-4.037935471976921,0.414298091884183,2.2839264603002385,-1.8744034509684568,-0.004241213633771805,-1.9684613645507685,-0.44711602603271666,0.6704983682460657,-0.4940278501068743,0.3262754676080538,True,accepted
ap02,combined_nfev_1__ref_mode_auto__static_nfev_1,14,cam_edge_3,evaluation_anchor_marker_14,-3.164399704516959,-1.530978361946632,2.2477851976398773,-1.9595012385048614,0.03793377883784432,-1.052432440493219,-0.7125851021120968,0.42612354829139304,-0.26620880339242,0.4896673021918263,True,accepted
ap02,combined_nfev_1__ref_mode_auto__static_nfev_1,14,cam_edge_5,evaluation_anchor_marker_14,6.03131117651842,0.6652826266611005,1.9913319744376246,-1.8832413837058477,0.06041723558449484,2.018668155886581,-0.4453213434191449,-0.6746121803436452,0.5109084714295203,0.2925061384807375,True,accepted
