image_name,x,y,z,roll,pitch,yaw,tag,board_name,board_x,board_y,board_z,board_roll,board_pitch,board_yaw,image_path,image_path
moving_0016.jpg,-3.737255,0.040508,1.650000,0.000000,0.000000,0.608823,transition_anchor_F3_front_near_left_seat_to_front_bridge_1,PARK,0.000000,0.000000,-5.000000,0.000000,0.000000,0.000000,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0016.jpg,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0016.jpg
moving_0017.jpg,-3.697712,0.038757,1.650000,0.000000,0.000000,0.599019,transition_anchor_F3_front_near_left_seat_to_front_bridge_1,PARK,0.000000,0.000000,-5.000000,0.000000,0.000000,0.000000,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0017.jpg,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0017.jpg
moving_0018.jpg,-3.658170,0.037005,1.650000,0.000000,0.000000,0.589216,transition_anchor_F3_front_near_left_seat_to_front_bridge_1,PARK,0.000000,0.000000,-5.000000,0.000000,0.000000,0.000000,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0018.jpg,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0018.jpg
moving_0019.jpg,-3.618627,0.035254,1.650000,0.000000,0.000000,0.579412,transition_anchor_F3_front_near_left_seat_to_front_bridge_1,PARK,0.000000,0.000000,-5.000000,0.000000,0.000000,0.000000,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0019.jpg,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0019.jpg
moving_0020.jpg,-3.579085,0.033503,1.650000,0.000000,0.000000,0.569608,transition_anchor_F3_front_near_left_seat_to_front_bridge_1,PARK,0.000000,0.000000,-5.000000,0.000000,0.000000,0.000000,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0020.jpg,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0020.jpg
moving_0021.jpg,-3.539542,0.031751,1.650000,0.000000,0.000000,0.559804,transition_anchor_F3_front_near_left_seat_to_front_bridge_1,PARK,0.000000,0.000000,-5.000000,0.000000,0.000000,0.000000,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0021.jpg,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0021.jpg
moving_0022.jpg,-3.500000,0.030000,1.650000,0.000000,0.000000,0.550000,front_bridge_1,PARK,0.000000,0.000000,-5.000000,0.000000,0.000000,0.000000,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0022.jpg,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0022.jpg
moving_0023.jpg,-3.500000,0.030000,1.650000,0.000000,0.000000,0.550000,front_bridge_1,PARK,0.000000,0.000000,-5.000000,0.000000,0.000000,0.000000,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0023.jpg,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0023.jpg
moving_0024.jpg,-3.500000,0.030000,1.650000,0.000000,0.000000,0.550000,front_bridge_1,PARK,0.000000,0.000000,-5.000000,0.000000,0.000000,0.000000,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0024.jpg,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0024.jpg
moving_0025.jpg,-3.500000,0.030000,1.650000,0.000000,0.000000,0.550000,front_bridge_1,PARK,0.000000,0.000000,-5.000000,0.000000,0.000000,0.000000,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0025.jpg,results/beintelli_bus_model/colmap/moving_route_v6_anchor_optimized_static_world/images/moving_0025.jpg
