method,label,camera,alignment,translation_error_cm,rotation_error_deg,aligned_estimated_x_m,aligned_estimated_y_m,aligned_estimated_z_m,aligned_estimated_roll_deg,aligned_estimated_pitch_deg,aligned_estimated_yaw_deg,aligned_estimated_rvec_x,aligned_estimated_rvec_y,aligned_estimated_rvec_z,gt_x_m,gt_y_m,gt_z_m,gt_roll_deg,gt_pitch_deg,gt_yaw_deg,gt_rvec_x,gt_rvec_y,gt_rvec_z
ap01,advanced_strategy_wizard_robustness_v1__direct_markers_2__direct_inlier_ratio_0__96129bf5,cam_edge_0,best_fit_SE3_all_static_cameras_no_scale,184.70713987309898,14.335485821862065,2.370542986551489,-2.2119869850035396,2.0125792175185513,-114.98119516681842,1.3605814686798483,-14.698711018571831,-1.9909226319627922,0.2721177799933361,-0.14014706667150748,0.58780793,-1.7345552666901032,2.087328294440571,-112.76486161592356,-1.4967437151065959,-0.8270999151459641,-1.968138710582115,-0.002885916482515835,-0.03515086080410998
ap01,advanced_strategy_wizard_robustness_v1__direct_markers_2__direct_inlier_ratio_0__96129bf5,cam_edge_1,best_fit_SE3_all_static_cameras_no_scale,227.89184583373304,10.551655536236138,-1.7663123514988728,0.6563140560017764,1.596750807720491,-104.14585829672104,2.7088142671266415,-124.62535813025842,-0.9375226746370369,1.8695939055114352,-1.4199363557837765,-3.97416732,0.4750864931681852,2.131542681522701,-106.36411383299566,0.7680856895512889,-114.55965647714748,-1.1237817078863135,1.7685660185089578,-1.3120742015830142
ap01,advanced_strategy_wizard_robustness_v1__direct_markers_2__direct_inlier_ratio_0__96129bf5,cam_edge_3,best_fit_SE3_all_static_cameras_no_scale,273.09958462669147,22.808952912607246,-0.7620114167921677,-0.3898296355850836,1.9943465121924175,-113.24668134602466,-0.6865790487376621,-82.27280742090244,-1.5883553830031922,1.3763737924896042,-0.9203473298521061,-3.22735583,-1.5632142665839586,2.0542108949897364,-109.39044877010727,1.9674296879878441,-59.89995245366187,-1.6921873357007629,1.002617044155977,-0.6660823946504665
ap01,advanced_strategy_wizard_robustness_v1__direct_markers_2__direct_inlier_ratio_0__96129bf5,cam_edge_5,best_fit_SE3_all_static_cameras_no_scale,654.9552546418429,126.78230201995699,-0.5970755682604474,-0.5287609423739819,2.808166904638269,-120.69025336295442,10.020581182234046,-121.1082808066814,-1.0255191780622126,2.048955306071908,-1.0359676598157126,5.85885887,0.3484195331450478,2.1387615711167207,-109.27065195603686,4.073178943414948,113.87681918646423,-1.2313021595012166,-1.791064683632414,1.334565666123626
ap01,baseline,cam_edge_0,best_fit_SE3_all_static_cameras_no_scale,14.339224402482984,1.306206839777397,0.6204878432085936,-1.6144222200179348,2.1584718817581763,-113.38260939861107,-0.8672603901817473,-1.7779431531339085,-1.9789083402309526,0.020863128062834,-0.03515135603179369,0.58780793,-1.7345552666901032,2.087328294440571,-112.76486161592356,-1.4967437151065959,-0.8270999151459641,-1.968138710582115,-0.002885916482515835,-0.03515086080410998
ap01,baseline,cam_edge_1,best_fit_SE3_all_static_cameras_no_scale,7.469238307110988,0.8283366294784071,-3.998812763800836,0.5449690672056811,2.1221629142230736,-105.66454867041486,1.0341723498460467,-114.19358837707878,-1.1178766841628867,1.7539602082304748,-1.3137138330064588,-3.97416732,0.4750864931681852,2.131542681522701,-106.36411383299566,0.7680856895512889,-114.55965647714748,-1.1237817078863135,1.7685660185089578,-1.3120742015830142
ap01,baseline,cam_edge_3,best_fit_SE3_all_static_cameras_no_scale,7.509731375137102,0.7966010449855049,-3.2125596218929813,-1.5205169548671211,2.1141910444600476,-109.53256218784753,1.579207891949773,-59.22340803395739,-1.7024531722379355,0.9896354460750107,-0.6636195955064494,-3.22735583,-1.5632142665839586,2.0542108949897364,-109.39044877010727,1.9674296879878441,-59.89995245366187,-1.6921873357007629,1.002617044155977,-0.6660823946504665
ap01,baseline,cam_edge_5,best_fit_SE3_all_static_cameras_no_scale,26.36250042410443,1.0734840038222198,5.836028192485224,0.11570660071854605,2.017017601628432,-109.53524764944552,3.0352128212344582,113.78792759801641,-1.2197282945893393,-1.796258894871655,1.3157247568430497,5.85885887,0.3484195331450478,2.1387615711167207,-109.27065195603686,4.073178943414948,113.87681918646423,-1.2313021595012166,-1.791064683632414,1.334565666123626
ap01,root_cam_edge_1,cam_edge_0,best_fit_SE3_all_static_cameras_no_scale,7.390723829587155,2.290863820641296,0.605604052224664,-1.6676012751854632,2.1130720495645647,-112.10373726054345,-1.8964943130793759,1.3100886246926873,-1.9558981251421519,-0.04416110078186326,-0.017321332755485353,0.58780793,-1.7345552666901032,2.087328294440571,-112.76486161592356,-1.4967437151065959,-0.8270999151459641,-1.968138710582115,-0.002885916482515835,-0.03515086080410998
ap01,root_cam_edge_1,cam_edge_1,best_fit_SE3_all_static_cameras_no_scale,33.12793769876873,4.331069419063664,-4.196892743588494,0.2305312768256338,2.1133174938878914,-105.75387027268694,1.9906201319207713,-110.43495297543966,-1.152608823213896,1.7069412612740327,-1.2599249054379467,-3.97416732,0.4750864931681852,2.131542681522701,-106.36411383299566,0.7680856895512889,-114.55965647714748,-1.1237817078863135,1.7685660185089578,-1.3120742015830142
ap01,root_cam_edge_1,cam_edge_3,best_fit_SE3_all_static_cameras_no_scale,55.80052451120632,3.1659932070517502,-3.0027694212155858,-1.0630570502720322,2.1580066440982555,-110.65515673767248,0.9397188643206873,-62.64670180967755,-1.700945727090761,1.0484091150607258,-0.7045117033297309,-3.22735583,-1.5632142665839586,2.0542108949897364,-109.39044877010727,1.9674296879878441,-59.89995245366187,-1.6921873357007629,1.002617044155977,-0.6660823946504665
ap01,root_cam_edge_1,cam_edge_5,best_fit_SE3_all_static_cameras_no_scale,34.1788891843405,3.643689171208654,5.839201762579416,0.025863541671032886,2.027447254519018,-108.49662221120452,3.8126790711123952,110.37863145693741,-1.264430066666898,-1.7286764110902784,1.3063165826039684,5.85885887,0.3484195331450478,2.1387615711167207,-109.27065195603686,4.073178943414948,113.87681918646423,-1.2313021595012166,-1.791064683632414,1.334565666123626
ap02,ap02_configured_defaults_nonbaseline,cam_edge_0,best_fit_SE3_all_static_cameras_no_scale,1.7635478867496126,0.4668394592648442,0.5914949123082909,-1.7376645372234087,2.1042914519619456,-113.21694741684227,-1.4690344890459337,-0.9290960321441697,-1.9760419531210345,-0.0006772158123854393,-0.03589236943579076,0.58780793,-1.7345552666901032,2.087328294440571,-112.76486161592356,-1.4967437151065959,-0.8270999151459641,-1.968138710582115,-0.002885916482515835,-0.03515086080410998
ap02,ap02_configured_defaults_nonbaseline,cam_edge_1,best_fit_SE3_all_static_cameras_no_scale,3.7572736904717496,0.1463552151462768,-4.011693573338489,0.47658607705940503,2.130428178476561,-106.44270285887491,0.8860344499826596,-114.52428067980618,-1.1232497277796478,1.7695012969248443,-1.3090667248476704,-3.97416732,0.4750864931681852,2.131542681522701,-106.36411383299566,0.7680856895512889,-114.55965647714748,-1.1237817078863135,1.7685660185089578,-1.3120742015830142
ap02,ap02_configured_defaults_nonbaseline,cam_edge_3,best_fit_SE3_all_static_cameras_no_scale,3.019757352250214,0.1194638677253369,-3.2513719001059993,-1.575050119961451,2.040245423349396,-109.29023280909682,2.0319942258814825,-59.90494235802014,-1.6900580130891152,1.0024195511227385,-0.6658072658240971,-3.22735583,-1.5632142665839586,2.0542108949897364,-109.39044877010727,1.9674296879878441,-59.89995245366187,-1.6921873357007629,1.002617044155977,-0.6660823946504665
