marker_id,corner_idx,status,x_colmap,y_colmap,z_colmap,obs_count,inlier_count,mean_reproj_px,median_reproj_px,max_reproj_px,note
0,0,OK,-0.4334168832170569,3.2158157655832262,-4.123969406038237,69,69,0.39791979250648296,0.39115738020319973,1.1550627759965657,
0,1,OK,-0.6770667575124096,3.213461166637443,-4.121822809089648,69,69,0.7119187387321352,0.543072344684857,2.299428373377806,
0,2,OK,-0.6773380126800106,3.3803244390878833,-3.9405539844454665,69,69,0.648026425462086,0.518921103117339,2.982828875383427,
0,3,OK,-0.43271754264932766,3.380818029560549,-3.941219984436615,69,69,0.5110680972750182,0.46616671039054985,1.6616768970978373,
1,0,OK,0.7914660841971125,2.477974946343073,-3.768870807034633,20,18,1.3636281365925231,1.3803493894761583,2.770013579280282,
1,1,OK,1.043081399571537,2.4769965892735257,-3.7701856453100384,20,18,1.024365919793116,0.9677027616128723,1.9063627422908633,
1,2,OK,1.0446295259262321,2.572655900159896,-4.002059250618895,20,18,1.2704514772672963,1.3644682613147276,2.494913657098662,
1,3,OK,0.7923899544790832,2.5731581434215354,-4.001222605311816,20,18,1.1251196162101706,1.1570671737590708,2.499923010969432,
2,0,OK,0.7920549708721549,2.483435498190145,-2.0257465283712124,14,14,0.4308668322280913,0.42242893472334275,0.8049209854989454,
2,1,OK,1.040513905553878,2.482508389987476,-2.0333036298171776,14,14,0.3484789432997985,0.3692860398741452,0.6575123456583929,
2,2,OK,1.0404438941800596,2.7310124598454415,-2.0349894402096913,14,14,0.48626528293262783,0.47781862247968165,1.0299807103964695,
2,3,OK,0.7925398844191724,2.732207375229781,-2.0297345451478606,14,14,0.4815514471060568,0.45872001992702627,1.0040167860193792,
3,0,OK,-1.62449651578319,2.2783050532263913,-0.3951833435405881,28,28,0.6722940330922001,0.5945677852137994,2.0928747930973333,
3,1,OK,-1.626019946568477,2.185362664060641,-0.1666290712439629,28,28,0.6973028012990898,0.6253206072799742,1.427534969121983,
3,2,OK,-1.6252233925189234,2.4133214308121294,-0.07074655841574146,28,28,0.706741045997241,0.6685149640416581,1.3891277152041914,
3,3,OK,-1.6229858242030841,2.5042510804860982,-0.29944575778223365,28,28,1.0623322321819213,1.116425618146167,2.201033501042108,
4,0,OK,-1.6238652630970543,0.314987873408598,-0.251631537969816,34,34,0.5244775942517019,0.4950129744416123,1.332582134480964,
4,1,OK,-1.6236672112609076,0.21994499442688586,-0.019828175796377957,34,34,0.5127798415717686,0.5083914117541213,1.7045596901635724,
4,2,OK,-1.623666818253502,0.44894534027012417,0.07385965544865014,34,34,0.6799507272114309,0.6087071141345453,1.7944487549921142,
4,3,OK,-1.6235741541723536,0.5434125503759857,-0.15720140259176915,34,34,0.6384036070793616,0.5495927857210527,1.6019091316033103,
5,0,OK,1.459225756570227,0.8082367124559553,2.041309663123365,26,26,0.4398590254275704,0.45439642791713664,0.8241667715299412,
5,1,OK,1.7034408103775465,0.8084586391662074,2.034167560543234,26,26,0.5726802815832205,0.5160357761825517,1.2508957589286334,
5,2,OK,1.7007508810874916,1.0538712384406232,2.025446131864543,26,26,0.4365048812788392,0.3579660605911249,1.2385563357693214,
5,3,OK,1.4570527259759776,1.0547621866202725,2.0314799737694,26,26,0.44379599608035636,0.39447324019441715,0.895798336059171,
6,0,OK,-0.7141660481853118,0.40233048924224596,1.9872432785005067,25,25,0.391965534917129,0.3773269343599504,0.6932400537437601,
6,1,OK,-0.4680245783365471,0.40165701879227317,1.9939402669170654,25,25,0.4538994214641975,0.33404951479043005,0.906146762649845,
6,2,OK,-0.46601854102778884,0.6491217267491174,1.9770943120630082,25,25,0.6192385971696681,0.5509716241948395,1.1938773425751552,
6,3,OK,-0.711893781211059,0.6500284783010528,1.972361299510326,25,25,0.4417832626150361,0.41612885786145043,1.0376014932061524,
7,0,OK,-1.3528136854814146,0.4039037040600901,1.9846731919365281,33,33,0.4074464765328396,0.4291140605193677,0.9778860811420585,
7,1,OK,-1.1053217810571965,0.40307653758250406,1.9867257088701593,33,33,0.45505576924248436,0.3994954118489151,1.9362720108906648,
7,2,OK,-1.1043600986854667,0.6493967627331614,1.9804949618345948,33,33,0.622134083727772,0.6140081668126816,1.4657624183714204,
7,3,OK,-1.3526756619400153,0.6493633878728227,1.9807931758795891,33,33,0.4882780728897677,0.469156226010153,0.951714744532585,
8,0,OK,0.7907915504827012,-0.03016730634868508,2.8863714643518055,35,35,0.39376564411111464,0.3975978905265982,1.3677270157646548,
8,1,OK,1.0351445710003153,-0.03006723809418569,2.8760465160680293,35,35,0.6923377031386394,0.6097954112794575,1.7759267323457963,
8,2,OK,1.031897992475376,0.214536417968067,2.8569117027453337,35,35,1.1187539056501683,1.0493461312052894,3.7505164558937967,
8,3,OK,0.7898619215876234,0.21635163896761328,2.8745225027602155,35,35,0.5874532534755108,0.5135928000529715,1.8542784118657925,
9,0,OK,-0.4333609084782826,-0.22070633301479042,3.3062371338481147,13,13,0.40119614776799895,0.40324038058249856,0.9303978043750106,
9,1,OK,-0.6816380297154656,-0.2200795183771987,3.305074389470143,13,13,0.410952292129891,0.44624352677877305,0.6773677133392506,
9,2,OK,-0.681392434695844,-0.05247890866855361,3.4897076275851155,13,13,0.29859414893295677,0.23253635566990266,0.640902821820238,
9,3,OK,-0.4348261451487734,-0.05872200040692668,3.4959119512750996,13,13,0.31203502348209794,0.29642406390842585,0.49935208631474953,
10,0,OK,1.7158648487924342,-0.21572034013863728,3.303734403343478,22,22,0.39339088517209575,0.41647112028801925,0.8384034185103061,
10,1,OK,1.4662346268988506,-0.21529432708133323,3.3027607336449876,22,22,0.494540468375658,0.4897921628923678,0.7793990871282245,
10,2,OK,1.4627888641976954,-0.043749018947682544,3.481805749968513,22,22,0.5342508614725421,0.4767781660242296,1.3421683704382266,
10,3,OK,1.7110727522115072,-0.045618724469386245,3.4840972269131276,22,22,0.4928936715036491,0.47945505026002344,1.1459963513250937,
11,0,OK,0.2744686782243028,-0.7787714408010524,4.53894444632585,12,12,0.5596688649296968,0.4342415926219757,1.692056862829632,
11,1,OK,0.02319590349807897,-0.7793118378540576,4.538995141943778,12,12,0.4249827422765205,0.32525405994277384,1.1935188784736288,
11,2,OK,0.021464341141929542,-0.8751795128950649,4.773820070460956,12,12,0.47027093771727335,0.41711127576731094,1.0126473010344492,
11,3,OK,0.27236460561754783,-0.8750392285219575,4.7735919775987705,12,12,0.5782610862438822,0.5653598928018149,1.2801208941704436,
12,0,OK,1.6291207250343027,-0.8520648105776124,4.848576343332434,19,19,0.734173136788764,0.6460238523507749,1.3008078564574241,
12,1,OK,1.629687062030127,-0.7555207987298741,4.6163291405684035,19,19,0.6100416471714386,0.6102843191199181,1.4002043202690035,
