method,marker_id,corner_index,static_camera,cross_camera_reprojection_error_px
AP02__combined_nfev_60__ref_marker_7,0,0,cam_edge_5,196.41028187507973
AP02__combined_nfev_60__ref_marker_7,0,1,cam_edge_5,200.31107920584483
AP02__combined_nfev_60__ref_marker_7,0,2,cam_edge_5,194.03613950857368
AP02__combined_nfev_60__ref_marker_7,0,3,cam_edge_5,189.58393833107243
AP02__combined_nfev_60__ref_marker_7,1,0,cam_edge_3,3.156295327982522
AP02__combined_nfev_60__ref_marker_7,1,1,cam_edge_3,7.1270076434648875
AP02__combined_nfev_60__ref_marker_7,1,2,cam_edge_3,3.5848258004414824
AP02__combined_nfev_60__ref_marker_7,1,3,cam_edge_3,9.126916426751661
AP02__combined_nfev_60__ref_marker_7,2,0,cam_edge_1,6.958417126042099
AP02__combined_nfev_60__ref_marker_7,2,1,cam_edge_1,6.119619542488467
AP02__combined_nfev_60__ref_marker_7,2,2,cam_edge_1,5.043020581181425
AP02__combined_nfev_60__ref_marker_7,2,3,cam_edge_1,3.257061513217211
AP02__combined_nfev_60__ref_marker_7,2,0,cam_edge_3,6.319052481375897
AP02__combined_nfev_60__ref_marker_7,2,1,cam_edge_3,5.254464052591583
AP02__combined_nfev_60__ref_marker_7,2,2,cam_edge_3,4.699229456648162
AP02__combined_nfev_60__ref_marker_7,2,3,cam_edge_3,4.291569997790797
AP02__combined_nfev_60__ref_marker_7,3,0,cam_edge_0,2.618466011982274
AP02__combined_nfev_60__ref_marker_7,3,1,cam_edge_0,1.7112171841126156
AP02__combined_nfev_60__ref_marker_7,3,2,cam_edge_0,2.0612032773800064
AP02__combined_nfev_60__ref_marker_7,3,3,cam_edge_0,1.8484527321487212
AP02__combined_nfev_60__ref_marker_7,4,0,cam_edge_0,1.389085609195627
AP02__combined_nfev_60__ref_marker_7,4,1,cam_edge_0,3.6742027643517225
AP02__combined_nfev_60__ref_marker_7,4,2,cam_edge_0,4.046533436364955
AP02__combined_nfev_60__ref_marker_7,4,3,cam_edge_0,1.242077766165845
AP02__combined_nfev_60__ref_marker_7,5,0,cam_edge_1,4.341228431552667
AP02__combined_nfev_60__ref_marker_7,5,1,cam_edge_1,7.556092978697537
AP02__combined_nfev_60__ref_marker_7,5,2,cam_edge_1,8.024455247139292
AP02__combined_nfev_60__ref_marker_7,5,3,cam_edge_1,4.900212615684034
AP02__combined_nfev_60__ref_marker_7,5,0,cam_edge_3,12.560160108727876
AP02__combined_nfev_60__ref_marker_7,5,1,cam_edge_3,6.020250015200391
AP02__combined_nfev_60__ref_marker_7,5,2,cam_edge_3,4.1585945792635375
AP02__combined_nfev_60__ref_marker_7,5,3,cam_edge_3,11.799225724966501
AP02__combined_nfev_60__ref_marker_7,6,0,cam_edge_1,2.072157272609006
AP02__combined_nfev_60__ref_marker_7,6,1,cam_edge_1,2.1540863923742526
