entity_type,entity_id,source,reference_frame,transform_convention,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,rvec_x,rvec_y,rvec_z
static_camera,cam_edge_0,ap03_multi_scale_from_shared_colmap,COLMAP best_model 0,T_reference_camera (camera pose expressed in reference frame),1.3042651485970114,-0.08340558248409916,-0.4750038135616727,53.40188959014826,-63.61119062030365,-74.84279103144728,0.037534890230055275,-1.3258436325404748,-0.5979155137957511
static_camera,cam_edge_1,ap03_multi_scale_from_shared_colmap,COLMAP best_model 0,T_reference_camera (camera pose expressed in reference frame),-1.3709598170099544,1.6461367513913623,-4.45214183488043,11.346456235875083,27.126884719305966,14.146447794407724,0.1349343257444818,0.4929820816784562,0.19463679993508834
static_camera,cam_edge_3,ap03_multi_scale_from_shared_colmap,COLMAP best_model 0,T_reference_camera (camera pose expressed in reference frame),0.7516527309329789,1.4932790270655403,-3.9271818336432633,5.969724565555332,-23.00458588159869,-8.550474211536372,0.07264491845262072,-0.4079546192372432,-0.1261777400583928
static_camera,cam_edge_5,ap03_multi_scale_from_shared_colmap,COLMAP best_model 0,T_reference_camera (camera pose expressed in reference frame),-0.2538070211789685,-2.3729906159315215,4.521053106248085,134.51898439286006,14.786277011676004,168.60348777929755,0.11828920693594994,2.6198138890749085,1.0584055165358348
