entity_type,entity_id,source,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,rvec_x,rvec_y,rvec_z
moving_frame,moving_frame_000007,ba_with_moving,-4.106855965050376,-0.5139420729567672,1.822824083621282,-110.90147487231029,-0.22662023164054207,-97.48735330567973,-1.3938316881656052,1.584648691041789,-1.0951631425387907
moving_frame,moving_frame_000008,ba_with_moving,-3.9899353896632004,-0.5121626810100741,1.8246824371516404,-111.8668264278867,-0.22350446004296423,-99.42692326387855,-1.3823414581299531,1.6264239171583907,-1.1037119599236687
moving_frame,moving_frame_000009,ba_with_moving,-3.872520859949095,-0.5121137102310326,1.8239887131756134,-112.7916322172267,-0.21158977165622095,-101.32775793621171,-1.369799771510998,1.667240487949676,-1.111528122563834
moving_frame,moving_frame_000010,ba_with_moving,-3.7489876923084826,-0.5144547934589718,1.8213550335772548,-113.72350544117431,-0.2217846546089136,-103.20815799595321,-1.356961328717752,1.7078718753537274,-1.1187126404194498
moving_frame,moving_frame_000011,ba_with_moving,-3.6349884918196205,-0.5114327152989704,1.8230385667491102,-114.66427743967485,-0.2353823634251327,-105.14338362318689,-1.3426390001572557,1.7495227523476393,-1.1256734282836303
moving_frame,moving_frame_000012,ba_with_moving,-3.634988491527268,-0.51143271551964,1.8230385666262567,-114.66427744008865,-0.2353823606687867,-105.14338362095215,-1.3426390001526693,1.7495227523269254,-1.125673428215986
moving_frame,moving_frame_000013,ba_with_moving,-3.5138576716913223,-0.5131836081505415,1.8223338231786137,-115.623181201006,-0.19318086281302024,-107.03580873559414,-1.3273211121997048,1.790965828828302,-1.1304451797197876
moving_frame,moving_frame_000014,ba_with_moving,-3.397473935322763,-0.5127959382136307,1.823598026652284,-116.58649262559763,-0.1638106089104808,-108.94222149529512,-1.311054799429984,1.8326477214864947,-1.1347509968185399
moving_frame,moving_frame_000015,ba_with_moving,-3.2796825669235825,-0.5127950986654729,1.82278575398423,-117.51389218228574,-0.15260862704325978,-110.85562283094488,-1.293599489462402,1.873885956403547,-1.1391451337618457
moving_frame,moving_frame_000016,ba_with_moving,-3.161516271545709,-0.5123054257104596,1.823443443042743,-118.47071838870566,-0.15324960438637816,-112.7557883884119,-1.2757794707473662,1.9152874109605917,-1.1424470226770154
