marker_id,frame_id,quality_rank,selection_score,selected,registered_observations_for_marker,selected_observations_for_marker,top_moving_per_marker,tie_breaker
0,78,1,0.8172181691353878,True,68,8,8,stable ascending moving-frame number
0,81,2,0.7799243626723525,True,68,8,8,stable ascending moving-frame number
0,83,3,0.7760908285422174,True,68,8,8,stable ascending moving-frame number
0,82,4,0.7684775591252305,True,68,8,8,stable ascending moving-frame number
0,79,5,0.7650495169284282,True,68,8,8,stable ascending moving-frame number
0,76,6,0.764014102730726,True,68,8,8,stable ascending moving-frame number
0,80,7,0.7639005062430096,True,68,8,8,stable ascending moving-frame number
0,74,8,0.7441588296473547,True,68,8,8,stable ascending moving-frame number
0,75,9,0.7427636598753656,False,68,8,8,stable ascending moving-frame number
0,77,10,0.7235215060934604,False,68,8,8,stable ascending moving-frame number
0,84,11,0.7207464745796055,False,68,8,8,stable ascending moving-frame number
0,73,12,0.7120737990684043,False,68,8,8,stable ascending moving-frame number
0,72,13,0.6822495353516242,False,68,8,8,stable ascending moving-frame number
0,71,14,0.6761855103147242,False,68,8,8,stable ascending moving-frame number
0,70,15,0.6500832255767275,False,68,8,8,stable ascending moving-frame number
0,69,16,0.6437423352792946,False,68,8,8,stable ascending moving-frame number
0,63,17,0.6219408941048905,False,68,8,8,stable ascending moving-frame number
0,68,18,0.6170061793467422,False,68,8,8,stable ascending moving-frame number
0,30,19,0.615165780850741,False,68,8,8,stable ascending moving-frame number
0,64,20,0.6026050414771063,False,68,8,8,stable ascending moving-frame number
0,31,21,0.5922426413412355,False,68,8,8,stable ascending moving-frame number
0,66,22,0.59104051878816,False,68,8,8,stable ascending moving-frame number
0,67,23,0.5897671443657478,False,68,8,8,stable ascending moving-frame number
0,62,24,0.5799169905338235,False,68,8,8,stable ascending moving-frame number
0,59,25,0.5737701486917721,False,68,8,8,stable ascending moving-frame number
0,58,26,0.5665419339306349,False,68,8,8,stable ascending moving-frame number
0,43,27,0.5603616574589554,False,68,8,8,stable ascending moving-frame number
0,61,28,0.5593648178793418,False,68,8,8,stable ascending moving-frame number
0,42,29,0.5555006721247859,False,68,8,8,stable ascending moving-frame number
0,65,30,0.5508275908817053,False,68,8,8,stable ascending moving-frame number
0,33,31,0.5487958161775002,False,68,8,8,stable ascending moving-frame number
0,60,32,0.544683253543716,False,68,8,8,stable ascending moving-frame number
0,28,33,0.5437401768779412,False,68,8,8,stable ascending moving-frame number
0,29,34,0.5435652644047126,False,68,8,8,stable ascending moving-frame number
0,56,35,0.5372057331281882,False,68,8,8,stable ascending moving-frame number
0,32,36,0.534589974125476,False,68,8,8,stable ascending moving-frame number
0,57,37,0.5325035245891295,False,68,8,8,stable ascending moving-frame number
0,20,38,0.5251042375089832,False,68,8,8,stable ascending moving-frame number
0,34,39,0.5213893957598814,False,68,8,8,stable ascending moving-frame number
0,23,40,0.5195306394091496,False,68,8,8,stable ascending moving-frame number
0,54,41,0.5193503684159553,False,68,8,8,stable ascending moving-frame number
0,44,42,0.5177559291289952,False,68,8,8,stable ascending moving-frame number
0,45,43,0.509683847201423,False,68,8,8,stable ascending moving-frame number
0,26,44,0.5095758941157086,False,68,8,8,stable ascending moving-frame number
0,27,45,0.507540053836353,False,68,8,8,stable ascending moving-frame number
0,40,46,0.5075208083091002,False,68,8,8,stable ascending moving-frame number
0,19,47,0.4981127638639548,False,68,8,8,stable ascending moving-frame number
