frame_id,image_path,debug_image,detected_marker_count,detected_marker_ids,pnp_success_count,pnp_failure_count,median_pnp_reprojection_rmse_px
0,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000000.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000000.png,2,2 3,2,0,0.4557329856734325
1,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000001.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000001.png,3,2 3 20,3,0,0.7230133675643126
2,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000002.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000002.png,4,2 3 4 20,4,0,0.263728280805867
3,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000003.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000003.png,4,2 3 4 20,4,0,0.18419171360283437
4,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000004.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000004.png,5,2 3 4 18 20,5,0,0.7776925392337107
5,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000005.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000005.png,3,2 4 20,3,0,0.4574100288026657
6,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000006.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000006.png,3,2 4 20,3,0,0.33273025871107836
7,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000007.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000007.png,3,2 4 20,3,0,0.34980304511029203
8,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000008.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000008.png,2,2 4,2,0,0.9441260186253642
9,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000009.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000009.png,1,4,1,0,1.5250901647983306
10,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000010.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000010.png,1,4,1,0,0.3359923484295032
11,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000011.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000011.png,1,4,1,0,0.49924880088061385
12,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000012.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000012.png,1,4,1,0,0.18213420379543183
13,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000013.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000013.png,1,4,1,0,0.6617880241136324
14,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000014.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000014.png,2,4 5,2,0,0.3207769095123741
15,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000015.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000015.png,2,4 5,2,0,0.32195971231499
16,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000016.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000016.png,2,4 5,2,0,1.6178285167123265
17,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000017.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000017.png,2,4 18,2,0,0.6904290368330019
18,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000018.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000018.png,2,6 18,2,0,0.8854408938141822
19,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000019.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000019.png,1,6,1,0,1.3006180633676616
20,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000020.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000020.png,1,6,1,0,0.5948061349562687
21,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000021.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000021.png,2,8 20,2,0,0.8300389946750653
22,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000022.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000022.png,1,20,1,0,0.14623099984130775
23,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000023.png,results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/aruco_observations/debug_images/moving/frame_000023.png,1,20,1,0,0.3474826861689172
