station_name,group,target_static_camera,candidate_name,board_pose,moving_pose,radius,angle_deg,reason
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_052,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.149440 -0.171491 1.800000 0.000000 0.197396 -0.698132,0.9,140,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_053,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.149440 -0.171491 2.000000 0.000000 0.399515 -0.698132,0.9,140,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_054,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.149440 -0.171491 2.200000 0.000000 0.572460 -0.698132,0.9,140,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_055,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.149440 -0.171491 2.350000 0.000000 0.681479 -0.698132,0.9,140,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_056,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.346327 -0.593717 1.800000 0.000000 0.197396 -0.174533,0.9,170,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_057,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.346327 -0.593717 2.000000 0.000000 0.399515 -0.174533,0.9,170,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_058,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.346327 -0.593717 2.200000 0.000000 0.572460 -0.174533,0.9,170,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_059,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.346327 -0.593717 2.350000 0.000000 0.681479 -0.174533,0.9,170,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_060,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.305723 -1.057818 1.800000 0.000000 0.197396 0.349066,0.9,-160,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_061,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.305723 -1.057818 2.000000 0.000000 0.399515 0.349066,0.9,-160,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_062,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.305723 -1.057818 2.200000 0.000000 0.572460 0.349066,0.9,-160,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_063,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.305723 -1.057818 2.350000 0.000000 0.681479 0.349066,0.9,-160,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_064,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.038509 -1.439440 1.800000 0.000000 0.197396 0.872665,0.9,-130,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_065,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.038509 -1.439440 2.000000 0.000000 0.399515 0.872665,0.9,-130,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_066,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.038509 -1.439440 2.200000 0.000000 0.572460 0.872665,0.9,-130,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_067,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.038509 -1.439440 2.350000 0.000000 0.681479 0.872665,0.9,-130,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_068,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-2.616283 -1.636327 1.800000 0.000000 0.197396 1.396263,0.9,-100,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_069,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-2.616283 -1.636327 2.000000 0.000000 0.399515 1.396263,0.9,-100,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_070,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-2.616283 -1.636327 2.200000 0.000000 0.572460 1.396263,0.9,-100,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_071,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-2.616283 -1.636327 2.350000 0.000000 0.681479 1.396263,0.9,-100,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_072,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-1.426338 -0.373778 1.800000 0.000000 0.162199 -2.792527,1.1,20,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_073,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-1.426338 -0.373778 2.000000 0.000000 0.332620 -2.792527,1.1,20,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_074,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-1.426338 -0.373778 2.200000 0.000000 0.485227 -2.792527,1.1,20,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_075,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-1.426338 -0.373778 2.350000 0.000000 0.585902 -2.792527,1.1,20,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_076,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-1.752934 0.092649 1.800000 0.000000 0.162199 -2.268928,1.1,50,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_077,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-1.752934 0.092649 2.000000 0.000000 0.332620 -2.268928,1.1,50,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_078,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-1.752934 0.092649 2.200000 0.000000 0.485227 -2.268928,1.1,50,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_079,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-1.752934 0.092649 2.350000 0.000000 0.585902 -2.268928,1.1,50,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_080,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-2.268987 0.333289 1.800000 0.000000 0.162199 -1.745329,1.1,80,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_081,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-2.268987 0.333289 2.000000 0.000000 0.332620 -1.745329,1.1,80,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_082,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-2.268987 0.333289 2.200000 0.000000 0.485227 -1.745329,1.1,80,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_083,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-2.268987 0.333289 2.350000 0.000000 0.585902 -1.745329,1.1,80,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_084,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-2.836222 0.283662 1.800000 0.000000 0.162199 -1.221730,1.1,110,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_085,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-2.836222 0.283662 2.000000 0.000000 0.332620 -1.221730,1.1,110,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_086,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-2.836222 0.283662 2.200000 0.000000 0.485227 -1.221730,1.1,110,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_087,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-2.836222 0.283662 2.350000 0.000000 0.585902 -1.221730,1.1,110,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_088,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.302649 -0.042934 1.800000 0.000000 0.162199 -0.698132,1.1,140,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_089,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.302649 -0.042934 2.000000 0.000000 0.332620 -0.698132,1.1,140,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_090,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.302649 -0.042934 2.200000 0.000000 0.485227 -0.698132,1.1,140,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_091,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.302649 -0.042934 2.350000 0.000000 0.585902 -0.698132,1.1,140,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_092,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.543289 -0.558987 1.800000 0.000000 0.162199 -0.174533,1.1,170,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_093,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.543289 -0.558987 2.000000 0.000000 0.332620 -0.174533,1.1,170,orbit_look_at_board
