initialized_type,initialized_id,from_type,from_id,observed_marker_id,observer_id,frame_id,pnp_reprojection_rmse_px,area_px2,distance_m
observer,cam_edge_0,marker,7,7,cam_edge_0,static,0.27642109079268934,2813.0,2.852544085963125
observer,cam_edge_1,marker,7,7,cam_edge_1,static,0.23353963795061633,834.0,6.118902976384111
observer,cam_edge_3,marker,7,7,cam_edge_3,static,0.28259155639864,735.5,5.70863306171402
observer,moving_frame_000108,marker,7,7,moving_frame_000108,108,0.10232619200140028,1536.5,5.155125432086941
observer,moving_frame_000109,marker,7,7,moving_frame_000109,109,0.10343226296838615,1258.0,5.208187241868091
observer,moving_frame_000110,marker,7,7,moving_frame_000110,110,0.23676123552887127,1173.0,5.139982733380152
observer,moving_frame_000111,marker,7,7,moving_frame_000111,111,0.05206720502591917,1156.0,4.923551609138736
observer,moving_frame_000112,marker,7,7,moving_frame_000112,112,0.0290438766277318,1122.0,4.893668032848613
observer,moving_frame_000113,marker,7,7,moving_frame_000113,113,0.04377059235919634,1122.0,4.835832310789659
observer,moving_frame_000114,marker,7,7,moving_frame_000114,114,0.07036372781209262,1193.0,4.6881033073231935
observer,moving_frame_000115,marker,7,7,moving_frame_000115,115,0.27695223944396546,1307.0,4.615830066167442
observer,moving_frame_000116,marker,7,7,moving_frame_000116,116,0.22532027432026283,1460.0,4.465815322206169
observer,moving_frame_000117,marker,7,7,moving_frame_000117,117,0.11321465223120487,1655.0,4.33820034301809
observer,moving_frame_000120,marker,7,7,moving_frame_000120,120,0.3402460354204873,2327.0,4.069215216668518
observer,moving_frame_000121,marker,7,7,moving_frame_000121,121,0.07882954109228373,2379.0,3.920543404834782
observer,moving_frame_000122,marker,7,7,moving_frame_000122,122,0.26199659735209274,2420.0,3.836525005590347
observer,moving_frame_000123,marker,7,7,moving_frame_000123,123,0.17577896135147608,2536.5,3.670020312304619
observer,moving_frame_000124,marker,7,7,moving_frame_000124,124,0.19527097770073418,2669.5,3.5096720968378627
observer,moving_frame_000125,marker,7,7,moving_frame_000125,125,0.13273282173166906,2860.0,3.4068013595345623
observer,moving_frame_000126,marker,7,7,moving_frame_000126,126,0.3522389332645874,3086.5,3.256955252384924
observer,moving_frame_000127,marker,7,7,moving_frame_000127,127,0.06395847499662048,3342.0,3.1429956790458
