initialized_type,initialized_id,from_type,from_id,observed_marker_id,observer_id,frame_id,pnp_reprojection_rmse_px,area_px2,distance_m
observer,moving_frame_000128,marker,7,7,moving_frame_000128,128,0.28853559951427976,3705.0,2.9993271111758673
observer,moving_frame_000129,marker,7,7,moving_frame_000129,129,0.2385290631721178,4145.0,2.879336394921374
observer,moving_frame_000130,marker,7,7,moving_frame_000130,130,0.278889054455634,3779.5,2.821235825957776
observer,moving_frame_000131,marker,7,7,moving_frame_000131,131,0.11353283305873273,3566.0,2.7704921422723086
observer,moving_frame_000132,marker,7,7,moving_frame_000132,132,0.3254538475033921,3382.0,2.7654942281172517
observer,moving_frame_000133,marker,7,7,moving_frame_000133,133,0.08283714185287859,3280.0,2.7295078744601327
observer,moving_frame_000134,marker,7,7,moving_frame_000134,134,0.21690871238029513,3334.0,2.6711518077365777
observer,moving_frame_000135,marker,7,7,moving_frame_000135,135,0.26548702880768527,3468.0,2.6347045902673187
observer,moving_frame_000136,marker,7,7,moving_frame_000136,136,0.21453305042939452,3682.0,2.5951252943777137
observer,moving_frame_000137,marker,7,7,moving_frame_000137,137,0.15081084215780674,4136.5,2.538270844479547
observer,moving_frame_000138,marker,7,7,moving_frame_000138,138,0.13638338694851232,4658.0,2.5155953333945673
observer,moving_frame_000139,marker,7,7,moving_frame_000139,139,0.3795035446384508,5586.0,2.4541426081671527
marker,3,observer,cam_edge_0,3,cam_edge_0,static,0.2501329859149684,2478.0,3.0191078343462854
marker,4,observer,cam_edge_0,4,cam_edge_0,static,0.17216158635105214,4132.5,2.5050713755995706
marker,14,observer,cam_edge_1,14,cam_edge_1,static,0.14203376265054027,652.0,4.570408053475575
marker,2,observer,cam_edge_1,2,cam_edge_1,static,0.20013423151238488,1824.0,3.5976855054744283
marker,5,observer,cam_edge_1,5,cam_edge_1,static,0.04261170803064659,564.0,6.532448233857888
marker,6,observer,cam_edge_1,6,cam_edge_1,static,0.16113974441877105,752.0,6.252480782573799
marker,8,observer,cam_edge_1,8,cam_edge_1,static,0.25285244297284654,502.0,7.189036486181634
marker,1,observer,cam_edge_3,1,cam_edge_3,static,0.3643846771493961,8775.0,1.3811741570838951
marker,19,observer,cam_edge_3,19,cam_edge_3,static,0.016647152282941655,2079.0,3.069909646884428
marker,20,observer,cam_edge_3,20,cam_edge_3,static,0.2051228820864619,472.5,9.103943480185158
marker,18,observer,moving_frame_000113,18,moving_frame_000113,113,0.2751183843798062,2275.0,2.7884052004317166
marker,17,observer,moving_frame_000139,17,moving_frame_000139,139,0.23294143496399766,5693.5,2.0459899174232725
observer,moving_frame_000040,marker,3,3,moving_frame_000040,40,0.17382409715832203,2104.0,2.5657766707159504
observer,moving_frame_000041,marker,3,3,moving_frame_000041,41,0.11022318175534984,2029.5,2.5365240015512276
observer,moving_frame_000042,marker,3,3,moving_frame_000042,42,0.3447622696448379,2016.5,2.5188710211033607
observer,moving_frame_000044,marker,3,3,moving_frame_000044,44,0.3475785066511628,2120.0,2.4543569656679853
observer,moving_frame_000045,marker,3,3,moving_frame_000045,45,0.13543707613645659,2222.0,2.407184371729191
observer,moving_frame_000046,marker,3,3,moving_frame_000046,46,0.11685157199681508,2278.0,2.394478979323979
observer,moving_frame_000047,marker,3,3,moving_frame_000047,47,0.20648345302334487,2408.5,2.3779556532238244
observer,moving_frame_000048,marker,3,3,moving_frame_000048,48,0.12783800091445155,2588.0,2.3478563225891502
observer,moving_frame_000049,marker,3,3,moving_frame_000049,49,0.24587498048753895,2758.0,2.3330107588804996
observer,moving_frame_000051,marker,3,3,moving_frame_000051,51,0.3432020724556196,3200.0,2.2889367426218428
observer,moving_frame_000052,marker,3,3,moving_frame_000052,52,0.14836172539030182,3545.0,2.283707175348251
observer,moving_frame_000053,marker,3,3,moving_frame_000053,53,0.27702829404244844,4079.0,2.275588583336033
observer,moving_frame_000118,marker,3,3,moving_frame_000118,118,0.2672790718185924,1278.0,2.8896872002809606
observer,moving_frame_000025,marker,4,4,moving_frame_000025,25,0.16340087405808731,1016.5,3.3200281146771506
observer,moving_frame_000026,marker,4,4,moving_frame_000026,26,0.12407778244746215,1134.0,3.1454450653240467
observer,moving_frame_000027,marker,4,4,moving_frame_000027,27,0.13955259536239176,1235.0,3.045456487758388
observer,moving_frame_000028,marker,4,4,moving_frame_000028,28,0.23223343515224726,1376.0,2.8763296829787692
observer,moving_frame_000029,marker,4,4,moving_frame_000029,29,0.37195114062265955,1569.5,2.750702331878574
observer,moving_frame_000030,marker,4,4,moving_frame_000030,30,0.15474805090111726,1773.0,2.639541198151318
observer,moving_frame_000032,marker,4,4,moving_frame_000032,32,0.14015004842112813,2314.0,2.3728028718144243
observer,moving_frame_000033,marker,4,4,moving_frame_000033,33,0.18763531024116967,2749.5,2.244801865682628
observer,moving_frame_000034,marker,4,4,moving_frame_000034,34,0.12798150573166175,3203.5,2.119661738197729
observer,moving_frame_000036,marker,4,4,moving_frame_000036,36,0.18759656652211995,4482.0,1.894567685747153
observer,moving_frame_000037,marker,4,4,moving_frame_000037,37,0.1118276257221013,5320.5,1.7861553040684714
observer,moving_frame_000038,marker,4,4,moving_frame_000038,38,0.24999904812393903,5678.0,1.750601728938937
observer,moving_frame_000039,marker,4,4,moving_frame_000039,39,0.15857469054848977,6071.5,1.7214175755892271
observer,moving_frame_000050,marker,14,14,moving_frame_000050,50,0.13252292078676825,3377.0,2.3822995391762856
observer,moving_frame_000107,marker,14,14,moving_frame_000107,107,0.1586043026320723,2127.0,3.464913046101741
observer,moving_frame_000119,marker,14,14,moving_frame_000119,119,0.14933395672739797,2734.0,2.7505974988746593
observer,moving_frame_000103,marker,2,2,moving_frame_000103,103,0.2253619378222619,8168.0,2.008482865187278
observer,moving_frame_000104,marker,2,2,moving_frame_000104,104,0.330418846267551,7325.5,2.0474987020042916
observer,moving_frame_000105,marker,2,2,moving_frame_000105,105,0.052347412576120855,6639.5,2.094509393862937
observer,moving_frame_000106,marker,2,2,moving_frame_000106,106,0.12349708177795916,6087.0,2.129757018118423
observer,moving_frame_000140,marker,5,5,moving_frame_000140,140,0.06385038236392382,4088.5,2.496200579925087
observer,moving_frame_000141,marker,5,5,moving_frame_000141,141,0.07973595075890434,3998.0,2.4405381708527973
observer,moving_frame_000142,marker,5,5,moving_frame_000142,142,0.19736194191884718,3947.0,2.4276712299931953
observer,moving_frame_000143,marker,5,5,moving_frame_000143,143,0.2049477664247894,4400.0,2.298834150915972
observer,moving_frame_000144,marker,5,5,moving_frame_000144,144,0.25879960712871075,4942.5,2.1674005574294406
observer,moving_frame_000145,marker,5,5,moving_frame_000145,145,0.15272605324163435,5623.5,2.0550864230041204
observer,moving_frame_000146,marker,5,5,moving_frame_000146,146,0.12209434045923431,6435.0,1.9686195523531467
observer,moving_frame_000147,marker,5,5,moving_frame_000147,147,0.11330401688943319,7552.5,1.8687710300420572
observer,moving_frame_000148,marker,5,5,moving_frame_000148,148,0.19555457311450322,8937.0,1.772212103343939
observer,moving_frame_000149,marker,8,8,moving_frame_000149,149,0.18603840693557414,6988.5,1.8645050528175062
observer,moving_frame_000150,marker,8,8,moving_frame_000150,150,0.18725942122718603,8111.5,1.7334535050625683
observer,moving_frame_000151,marker,8,8,moving_frame_000151,151,0.23877982784295654,9558.0,1.6117116101296267
observer,moving_frame_000152,marker,8,8,moving_frame_000152,152,0.12363252874647067,11485.0,1.4910620276517037
observer,moving_frame_000153,marker,8,8,moving_frame_000153,153,0.13832624648068795,14131.5,1.3738262636414855
observer,moving_frame_000154,marker,8,8,moving_frame_000154,154,0.18719134067075158,17768.5,1.2656096910766472
observer,moving_frame_000085,marker,1,1,moving_frame_000085,85,0.24390191435998632,6890.0,1.412232651775017
observer,moving_frame_000086,marker,1,1,moving_frame_000086,86,0.10838694682525525,6981.0,1.370537376795773
observer,moving_frame_000087,marker,1,1,moving_frame_000087,87,0.8286377447063139,7273.5,1.3233872127967736
observer,moving_frame_000090,marker,1,1,moving_frame_000090,90,0.30986829399074123,8791.0,1.194466254024381
observer,moving_frame_000093,marker,1,1,moving_frame_000093,93,0.5995679428582329,11439.0,1.0872598823081154
observer,moving_frame_000094,marker,1,1,moving_frame_000094,94,0.534546762790415,12444.0,1.061319627318692
observer,moving_frame_000095,marker,1,1,moving_frame_000095,95,0.557682206355759,13771.0,1.0322468345045104
observer,moving_frame_000096,marker,1,1,moving_frame_000096,96,0.17087730602206327,15080.0,1.0107563244875473
observer,moving_frame_000097,marker,1,1,moving_frame_000097,97,0.14354566881447386,16147.0,0.9860573340682656
observer,moving_frame_000098,marker,1,1,moving_frame_000098,98,0.16450233718443583,17317.5,0.9732198943053684
observer,moving_frame_000099,marker,1,1,moving_frame_000099,99,0.3032943925822473,18320.0,0.9616599791954493
observer,moving_frame_000100,marker,1,1,moving_frame_000100,100,0.5824292931908069,18916.0,0.9529029015539329
observer,moving_frame_000101,marker,1,1,moving_frame_000101,101,0.4393574572924273,19375.0,0.9481537239689802
observer,moving_frame_000054,marker,19,19,moving_frame_000054,54,0.23107156765302825,1468.0,2.986148564937844
observer,moving_frame_000055,marker,19,19,moving_frame_000055,55,0.11654998060388844,1567.5,2.9145266958068645
observer,moving_frame_000056,marker,19,19,moving_frame_000056,56,0.25439168653502514,1731.5,2.808593095464879
observer,moving_frame_000057,marker,19,19,moving_frame_000057,57,0.1482711351267133,2013.0,2.7623718843837146
observer,moving_frame_000065,marker,19,19,moving_frame_000065,65,0.17020336764793145,3715.5,2.2915779934803817
observer,moving_frame_000066,marker,19,19,moving_frame_000066,66,0.15824510331253838,3624.0,2.2205355507980133
observer,moving_frame_000067,marker,19,19,moving_frame_000067,67,0.29713027884807786,3682.0,2.1222425914140253
observer,moving_frame_000068,marker,19,19,moving_frame_000068,68,0.24223623899933164,3858.0,2.043455548496069
observer,moving_frame_000069,marker,19,19,moving_frame_000069,69,0.3995936438289155,4028.0,1.9703564472257329
observer,moving_frame_000070,marker,19,19,moving_frame_000070,70,0.14668227009386778,4308.0,1.9022439487260157
observer,moving_frame_000071,marker,19,19,moving_frame_000071,71,0.061718067745517004,4736.0,1.8281654095972986
observer,moving_frame_000072,marker,19,19,moving_frame_000072,72,0.3521364184741952,5474.5,1.7079047522990822
observer,moving_frame_000073,marker,19,19,moving_frame_000073,73,0.3037816391226829,6529.0,1.5796510038224763
observer,moving_frame_000074,marker,19,19,moving_frame_000074,74,0.25693322248712563,7857.0,1.4651051552300114
observer,moving_frame_000075,marker,19,19,moving_frame_000075,75,0.2463548235497026,9806.5,1.3471040897305742
observer,moving_frame_000076,marker,19,19,moving_frame_000076,76,0.349002888219756,12353.0,1.2396308742101456
observer,moving_frame_000160,marker,20,20,moving_frame_000160,160,0.4442630689050383,2912.0,3.143102593465654
observer,moving_frame_000161,marker,20,20,moving_frame_000161,161,0.2793674570926529,3082.0,3.028559539499064
observer,moving_frame_000162,marker,20,20,moving_frame_000162,162,0.170733732801849,3400.5,2.8421707919489396
observer,moving_frame_000163,marker,20,20,moving_frame_000163,163,0.07672221518252433,3738.0,2.7108937256711028
observer,moving_frame_000164,marker,20,20,moving_frame_000164,164,0.21671139747356175,4330.0,2.565377051059251
observer,moving_frame_000165,marker,20,20,moving_frame_000165,165,0.220491093148404,4683.5,2.432017932827588
observer,moving_frame_000166,marker,20,20,moving_frame_000166,166,0.15039466632887338,5167.5,2.2684623371533563
observer,moving_frame_000167,marker,20,20,moving_frame_000167,167,0.21512215412018112,5747.0,2.1354107930020305
observer,moving_frame_000168,marker,20,20,moving_frame_000168,168,0.3510330010305883,6603.0,2.0107693656203747
observer,moving_frame_000169,marker,20,20,moving_frame_000169,169,0.10320021592925296,7694.5,1.8734267764762296
observer,moving_frame_000170,marker,20,20,moving_frame_000170,170,0.38040569383837286,9255.0,1.7306768141517896
observer,moving_frame_000171,marker,20,20,moving_frame_000171,171,0.15754573331824462,11235.0,1.5987240483137852
observer,moving_frame_000172,marker,20,20,moving_frame_000172,172,0.14072118739372833,13567.0,1.5261951866784975
observer,moving_frame_000173,marker,20,20,moving_frame_000173,173,0.208298098657272,16932.0,1.4577749363020875
observer,moving_frame_000058,marker,18,18,moving_frame_000058,58,0.2135150910448783,6376.5,1.9330097778393083
observer,moving_frame_000059,marker,18,18,moving_frame_000059,59,0.3297857756719694,5985.5,1.895919026057318
observer,moving_frame_000060,marker,18,18,moving_frame_000060,60,0.17957850451902785,5712.5,1.8709209083369815
observer,moving_frame_000061,marker,18,18,moving_frame_000061,61,0.09556392609502519,5536.0,1.8516777611631077
observer,moving_frame_000062,marker,18,18,moving_frame_000062,62,0.3994931019438614,7165.5,1.7863126126277307
observer,moving_frame_000102,marker,18,18,moving_frame_000102,102,0.14508789155069474,1964.0,2.886600115658311
observer,moving_frame_000018,marker,17,17,moving_frame_000018,18,0.22411098581055247,1212.5,3.189130731596606
observer,moving_frame_000024,marker,17,17,moving_frame_000024,24,0.1474837730609086,2565.0,2.668912753523597
marker,0,observer,moving_frame_000040,0,moving_frame_000040,40,0.12615083166825566,1807.0,4.63172197356045
marker,16,observer,moving_frame_000051,16,moving_frame_000051,51,0.18730684928900385,4862.0,2.644454064680836
marker,12,observer,moving_frame_000160,12,moving_frame_000160,160,0.34410692629519424,5929.0,1.7920612851635092
marker,11,observer,moving_frame_000161,11,moving_frame_000161,161,0.26206974163793706,7554.0,1.3829199506782832
marker,10,observer,moving_frame_000018,10,moving_frame_000018,18,0.1226749491307877,5891.0,1.9386368086739953
observer,cam_edge_5,marker,0,0,cam_edge_5,static,0.022206815739071,420.0,8.719740914268723
observer,moving_frame_000000,marker,0,0,moving_frame_000000,0,0.2569757494974771,497.0,8.28621845226765
observer,moving_frame_000001,marker,0,0,moving_frame_000001,1,0.03625370525883217,465.0,8.277801726141025
observer,moving_frame_000002,marker,0,0,moving_frame_000002,2,0.3063633973183531,421.5,8.45321080739159
observer,moving_frame_000003,marker,0,0,moving_frame_000003,3,0.26167031454535716,432.0,8.244563406207966
observer,moving_frame_000004,marker,0,0,moving_frame_000004,4,0.25868870379389175,430.5,8.211283961361998
observer,moving_frame_000006,marker,0,0,moving_frame_000006,6,0.25886409087330575,430.5,8.197638314833268
observer,moving_frame_000007,marker,0,0,moving_frame_000007,7,0.368976118121818,463.0,7.873885434355157
observer,moving_frame_000008,marker,0,0,moving_frame_000008,8,0.22277036494147864,474.0,7.90738683611435
observer,moving_frame_000009,marker,0,0,moving_frame_000009,9,0.21183626074497183,522.0,7.828353224042318
observer,moving_frame_000010,marker,0,0,moving_frame_000010,10,0.04482636301608148,583.0,7.713835619115142
observer,moving_frame_000011,marker,0,0,moving_frame_000011,11,0.24061344009247565,687.5,7.671513612943859
observer,moving_frame_000017,marker,0,0,moving_frame_000017,17,0.16823193386191704,800.5,7.086726986731143
observer,moving_frame_000019,marker,0,0,moving_frame_000019,19,0.18867423792261392,638.5,7.071327057395939
observer,moving_frame_000020,marker,0,0,moving_frame_000020,20,0.047154176168990945,577.0,7.054386799636312
observer,moving_frame_000021,marker,0,0,moving_frame_000021,21,0.2080753234708883,564.5,6.9957461802981005
observer,moving_frame_000022,marker,0,0,moving_frame_000022,22,0.24362467596050105,540.5,6.956852511417909
observer,moving_frame_000023,marker,0,0,moving_frame_000023,23,0.04540468604812933,529.0,6.961509857737168
observer,moving_frame_000031,marker,0,0,moving_frame_000031,31,0.07744008324216733,908.0,5.703659858243368
observer,moving_frame_000035,marker,0,0,moving_frame_000035,35,0.32859493817404095,1552.5,5.012380888237769
observer,moving_frame_000043,marker,0,0,moving_frame_000043,43,0.11452919006936478,1753.5,4.482729126089863
observer,moving_frame_000063,marker,0,0,moving_frame_000063,63,0.03319992102580693,2472.0,3.5916728663189743
observer,moving_frame_000064,marker,0,0,moving_frame_000064,64,0.09591541521974327,2409.0,3.4622293013094114
observer,moving_frame_000077,marker,0,0,moving_frame_000077,77,0.49526773760755766,5193.0,2.201091111731256
observer,moving_frame_000078,marker,0,0,moving_frame_000078,78,0.08106657745134407,5513.0,2.1242319755006602
observer,moving_frame_000079,marker,0,0,moving_frame_000079,79,0.348148845502948,6168.5,2.012986176279082
observer,moving_frame_000080,marker,0,0,moving_frame_000080,80,0.3787072241857697,7007.0,1.8781138415644858
observer,moving_frame_000081,marker,0,0,moving_frame_000081,81,0.29973681227699434,8019.0,1.778695224707039
observer,moving_frame_000082,marker,0,0,moving_frame_000082,82,0.37526395582050726,9394.0,1.6722998650395147
observer,moving_frame_000083,marker,0,0,moving_frame_000083,83,0.17108042070206098,11148.0,1.5586049133785524
observer,moving_frame_000084,marker,0,0,moving_frame_000084,84,0.2625076288175368,13131.0,1.4870993287355034
observer,moving_frame_000005,marker,16,16,moving_frame_000005,5,0.08332764069715111,728.0,6.513392162195511
observer,moving_frame_000012,marker,16,16,moving_frame_000012,12,0.19295438140338828,991.5,5.964692786388647
observer,moving_frame_000013,marker,16,16,moving_frame_000013,13,0.14939223344174124,1169.0,5.803314459104692
observer,moving_frame_000015,marker,16,16,moving_frame_000015,15,0.14103592757934985,1262.0,5.59924920226801
observer,moving_frame_000016,marker,16,16,moving_frame_000016,16,0.1642419334968751,1134.0,5.515855107976408
observer,moving_frame_000014,marker,12,12,moving_frame_000014,14,0.19668208063602977,10812.0,1.7409087830876777
observer,moving_frame_000155,marker,12,12,moving_frame_000155,155,0.05464594511015875,2594.5,2.4645938701744483
observer,moving_frame_000156,marker,12,12,moving_frame_000156,156,0.12278213382696014,3160.0,2.328057464771207
observer,moving_frame_000157,marker,12,12,moving_frame_000157,157,0.010534407942804188,3966.0,2.1888420298266955
observer,moving_frame_000158,marker,12,12,moving_frame_000158,158,0.46800271085661027,5097.0,2.0687366727621295
observer,moving_frame_000159,marker,12,12,moving_frame_000159,159,0.0714077525428263,5393.0,1.9220395350774364
marker,13,observer,cam_edge_5,13,cam_edge_5,static,0.1485601840087693,3914.5,2.23661744504178
marker,9,observer,cam_edge_5,9,cam_edge_5,static,0.12157088885862638,2965.0,3.05935925808883
