method,status,original_method_status,original_method_success,available_static_camera_count,available_static_cameras,registered_moving_frames,static_pose_file,anchor_marker_id,anchor_expected_size_cm,anchor_raw_reconstructed_size_units,anchor_scale_m_per_unit,reconstructed_markers_total,evaluated_non_anchor_markers,markers_with_moving_to_static_validation,median_absolute_size_error_cm,p90_absolute_size_error_cm,median_relative_size_error_percent,p90_relative_size_error_percent,moving_fit_reprojection_rmse_px,moving_fit_reprojection_median_px,moving_to_static_reprojection_rmse_px,moving_to_static_reprojection_median_px,moving_to_static_reprojection_p90_px,moving_to_static_reprojection_observations,error
AP01,NOT_AVAILABLE,FAILED,False,0,,0,,,,,,,0,,,,,,,,,,,,RuntimeError: No static camera pose file
AP02,OK,OK_FULL,True,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,122,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/03_ap02_real/07_graph_ba/with_moving/optimized_static_camera_poses_ref_marker.csv,3,17.0,0.17541830432803954,0.969112092670175,16,15,14,0.5276203609126118,0.6179437718997893,3.1036491818388927,3.634963364116407,1.3312948218093632,0.7700363665862601,2.5586336293519305,1.6656154578043223,3.791712527636457,72,
AP03,PARTIAL_1_OF_4,PARTIAL_1_OF_4,False,1,cam_edge_3,17,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/04_ap03_real/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,3,17.0,0.1728200987503763,0.9836818820798751,5,4,1,0.15709304199066354,0.5307334204795331,0.9240767175921384,3.12196129693843,1.3514560803991074,0.5943545715365207,1.202019407774508,0.9803381608804187,1.623552939596232,4,
