method,marker_id,is_scale_anchor,reconstructed_mean_edge_length_cm,absolute_edge_length_error_cm,relative_edge_length_error_percent,cross_camera_reprojection_rmse_px,static_validation_cameras,static_validation_camera_count,cross_camera_reprojection_corner_count,moving_inlier_frame_count,max_triangulation_angle_deg
AP02,0,False,14.953715215726445,2.0462847842735554,12.036969319256208,1.703061644051805,cam_edge_1,1,4,24,109.97644706509605
AP02,2,False,16.546311431429732,0.45368856857026796,2.6687562857074583,1.2849755861081746,cam_edge_1;cam_edge_3,2,8,23,12.213697095122765
AP02,3,True,17.0,0,0,2.5381164165714813,cam_edge_1;cam_edge_3,2,8,22,60.043705183127926
AP02,4,False,16.48855788188615,0.5114421181138529,3.008483047728546,2.002477827473876,cam_edge_1,1,4,28,61.5542418551758
AP02,5,False,16.47237963908739,0.5276203609126118,3.1036491818388927,0.6899049326345964,cam_edge_5,1,4,9,110.72686871984341
AP02,6,False,16.5295087738683,0.47049122613170014,2.76759544783353,1.2694487761476816,cam_edge_1,1,4,6,4.214094899054779
AP02,7,False,16.466774307900366,0.5332256920996342,3.136621718233142,3.999078271509473,cam_edge_5,1,4,7,59.64628698612891
AP02,8,False,16.371125870580112,0.6288741294198874,3.6992595848228667,6.522648404782953,cam_edge_5,1,4,6,105.26602684245478
AP02,9,False,16.46039474969546,0.5396052503045423,3.17414853120319,1.963556187100317,cam_edge_5,1,4,6,11.020203351339868
AP02,12,False,16.423379696840037,0.5766203031599637,3.3918841362350802,3.808913683464216,cam_edge_5,1,4,7,12.679147526022392
AP02,15,False,16.398451764380358,0.6015482356196422,3.5385190330567187,1.4721033683188793,cam_edge_0;cam_edge_3,2,8,9,45.84764837456253
AP02,16,False,16.478423197641153,0.5215768023588474,3.0680988374049845,2.470466179177343,cam_edge_0;cam_edge_3,2,8,12,72.79793680274528
AP02,17,False,16.488583250406666,0.5114167495933353,3.008333821137266,2.4738164731964276,cam_edge_5,1,4,5,43.31419307808884
AP02,18,False,16.474380145670743,0.5256198543292595,3.0918814960544676,,,0,0,9,95.6301237866215
AP02,19,False,16.439757032728625,0.5602429672713766,3.2955468663022147,0.990543200854342,cam_edge_0;cam_edge_3,2,8,10,135.33143292444126
AP02,20,False,17.055989540500466,0.05598954050046456,0.32935023823802684,2.0037791342458324,cam_edge_1,1,4,17,3.7857380628174204
AP03,0,False,16.832303817715076,0.16769618228492655,0.9864481310878032,,,0,0,17,3.5794739953742787
AP03,2,False,16.8535100983036,0.14648990169640053,0.8617053040964736,1.202019407774508,cam_edge_3,1,4,17,7.3756670673804186
AP03,3,True,17.0,0,0,1.472182954679409,cam_edge_3,1,4,14,3.604465133629332
AP03,4,False,17.062915260258453,0.0629152602584504,0.3700897662261788,,,0,0,15,17.48693071760587
AP03,20,False,17.686320808277223,0.6863208082772215,4.0371812251601265,,,0,0,16,2.1920023513513023
