output_frame,source_frame,source_time_s,output_path
22,660,22.0,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000022.png
23,690,23.0,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000023.png
24,720,24.0,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000024.png
25,750,25.0,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000025.png
26,780,26.0,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000026.png
27,810,27.0,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000027.png
28,840,28.0,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000028.png
29,870,29.0,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000029.png
30,900,30.0,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000030.png
31,930,31.0,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000031.png
32,960,32.0,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000032.png
33,990,33.0,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_1hz/00_shared_input/raw_images/moving/frame_000033.png
