frame,num_detected,detected_ids,image,debug_image,route_x,route_y,route_z,route_roll,route_pitch,route_yaw
0,4,0;9;11;13,results/bus_real_data/03_moving_camera_sequence/images/frame_0000.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0000_debug.png,-4.5,0.0,2.2,0.0,0.3,0.0
1,4,0;9;11;13,results/bus_real_data/03_moving_camera_sequence/images/frame_0001.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0001_debug.png,-4.3125,0.0,2.2,0.0,0.3,0.0
2,3,5;6;7,results/bus_real_data/03_moving_camera_sequence/images/frame_0002.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0002_debug.png,-4.125,0.0,2.2,0.0,0.3,0.0
3,4,1;5;6;7,results/bus_real_data/03_moving_camera_sequence/images/frame_0003.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0003_debug.png,-3.9375,0.0,2.2,0.0,0.3,0.0
4,4,1;5;6;7,results/bus_real_data/03_moving_camera_sequence/images/frame_0004.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0004_debug.png,-3.75,0.0,2.2,0.0,0.3,0.0
5,4,2;5;6;7,results/bus_real_data/03_moving_camera_sequence/images/frame_0005.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0005_debug.png,-3.5625,0.0,2.2,0.0,0.3,0.0
6,5,1;2;5;6;7,results/bus_real_data/03_moving_camera_sequence/images/frame_0006.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0006_debug.png,-3.375,0.0,2.2,0.0,0.3,0.0
7,5,1;2;5;6;7,results/bus_real_data/03_moving_camera_sequence/images/frame_0007.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0007_debug.png,-3.1875,0.0,2.2,0.0,0.3,0.0
8,4,1;5;6;7,results/bus_real_data/03_moving_camera_sequence/images/frame_0008.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0008_debug.png,-3.0,0.0,2.2,0.0,0.3,0.0
9,4,1;5;6;7,results/bus_real_data/03_moving_camera_sequence/images/frame_0009.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0009_debug.png,-2.8,0.0,2.2,0.0,0.3,0.16666666666666666
10,6,2;3;4;5;6;7,results/bus_real_data/03_moving_camera_sequence/images/frame_0010.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0010_debug.png,-2.6,0.0,2.2,0.0,0.3,0.3333333333333333
11,5,2;3;5;6;7,results/bus_real_data/03_moving_camera_sequence/images/frame_0011.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0011_debug.png,-2.4,0.0,2.2,0.0,0.3,0.5
12,5,4;5;6;7;8,results/bus_real_data/03_moving_camera_sequence/images/frame_0012.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0012_debug.png,-2.2,0.0,2.2,0.0,0.3,0.6666666666666666
13,4,3;4;6;7,results/bus_real_data/03_moving_camera_sequence/images/frame_0013.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0013_debug.png,-2.0,0.0,2.2,0.0,0.3,0.8333333333333333
14,2,3;4,results/bus_real_data/03_moving_camera_sequence/images/frame_0014.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0014_debug.png,-1.7999999999999998,0.0,2.2,0.0,0.3,1.0
15,2,3;4,results/bus_real_data/03_moving_camera_sequence/images/frame_0015.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0015_debug.png,-1.6,0.0,2.2,0.0,0.3,1.1666666666666667
16,0,,results/bus_real_data/03_moving_camera_sequence/images/frame_0016.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0016_debug.png,-1.4,0.0,2.2,0.0,0.3,1.3333333333333333
17,0,,results/bus_real_data/03_moving_camera_sequence/images/frame_0017.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0017_debug.png,-1.2000000000000002,0.0,2.2,0.0,0.3,1.5
18,0,,results/bus_real_data/03_moving_camera_sequence/images/frame_0018.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0018_debug.png,-1.0,0.0,2.2,0.0,0.3,1.6666666666666665
19,0,,results/bus_real_data/03_moving_camera_sequence/images/frame_0019.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0019_debug.png,-0.8000000000000003,0.0,2.2,0.0,0.3,1.8333333333333333
20,0,,results/bus_real_data/03_moving_camera_sequence/images/frame_0020.png,results/bus_real_data/03_moving_camera_sequence/debug_images/frame_0020_debug.png,-0.5999999999999996,0.0,2.2,0.0,0.3,2.0
