image_name,colmap_eval_aligned_x,colmap_eval_aligned_y,colmap_eval_aligned_z,gt_x,gt_y,gt_z,err_x_m,err_y_m,err_z_m,err_norm_m
moving_0046.jpg,-2.84945721,0.07434494,2.16033354,-2.88939100,0.08116100,2.23461500,0.03993379,-0.00681606,-0.07428146,0.08461029
moving_0047.jpg,-2.82459434,0.07727109,2.18556454,-2.86507700,0.08407300,2.25769200,0.04048266,-0.00680191,-0.07212746,0.08299085
moving_0048.jpg,-2.80007700,0.07803239,2.21143227,-2.84076200,0.08698600,2.28076900,0.04068500,-0.00895361,-0.06933673,0.08088893
moving_0049.jpg,-2.77656645,0.08734191,2.22751915,-2.81644700,0.08989800,2.30384600,0.03988055,-0.00255609,-0.07632685,0.08615556
moving_0050.jpg,-2.75222716,0.09072677,2.25046092,-2.79213300,0.09281100,2.32692300,0.03990584,-0.00208423,-0.07646208,0.08627439
moving_0051.jpg,-2.72837060,0.09257397,2.27324738,-2.76781800,0.09572300,2.35000000,0.03944740,-0.00314903,-0.07675262,0.08635379
moving_0052.jpg,-2.70419292,0.09775934,2.29823520,-2.76781800,0.09572300,2.35000000,0.06362508,0.00203634,-0.05176480,0.08204811
moving_0053.jpg,-2.68074880,0.10065789,2.31963466,-2.76781800,0.09572300,2.35000000,0.08706920,0.00493489,-0.03036534,0.09234421
moving_0054.jpg,-2.65469492,0.10373207,2.34412464,-2.76781800,0.09572300,2.35000000,0.11312308,0.00800907,-0.00587536,0.11355834
moving_0055.jpg,-2.65469492,0.10373207,2.34412464,-2.76781800,0.09572300,2.35000000,0.11312308,0.00800907,-0.00587536,0.11355834
moving_0056.jpg,-2.65469492,0.10373207,2.34412464,-2.76781800,0.09572300,2.35000000,0.11312308,0.00800907,-0.00587536,0.11355834
moving_0057.jpg,-2.65469492,0.10373207,2.34412464,-2.76781800,0.09572300,2.35000000,0.11312308,0.00800907,-0.00587536,0.11355834
moving_0058.jpg,-2.65469492,0.10373207,2.34412464,-2.76781800,0.09572300,2.35000000,0.11312308,0.00800907,-0.00587536,0.11355834
moving_0059.jpg,-2.65469518,0.10374385,2.34411375,-2.76781800,0.09572300,2.35000000,0.11312282,0.00802085,-0.00588625,0.11355948
moving_0060.jpg,-2.65469492,0.10373207,2.34412464,-2.76781800,0.09572300,2.35000000,0.11312308,0.00800907,-0.00587536,0.11355834
moving_0061.jpg,-2.65469518,0.10374385,2.34411375,-2.76781800,0.09572300,2.35000000,0.11312282,0.00802085,-0.00588625,0.11355948
moving_0062.jpg,-2.65469492,0.10373207,2.34412464,-2.76781800,0.09572300,2.35000000,0.11312308,0.00800907,-0.00587536,0.11355834
moving_0063.jpg,-2.65469492,0.10373207,2.34412464,-2.76165300,0.09156600,2.32727300,0.10695808,0.01216607,0.01685164,0.10895881
moving_0064.jpg,-2.65469492,0.10373207,2.34412464,-2.75548700,0.08741000,2.30454500,0.10079208,0.01632207,0.03957964,0.10950800
moving_0065.jpg,-2.65469492,0.10373207,2.34412464,-2.74932200,0.08325300,2.28181800,0.09462708,0.02047907,0.06230664,0.11513381
moving_0066.jpg,-2.65058142,0.10141689,2.32030710,-2.74315700,0.07909600,2.25909100,0.09257558,0.02232089,0.06121610,0.11320720
moving_0067.jpg,-2.64282647,0.09360478,2.29837295,-2.73699200,0.07494000,2.23636400,0.09416553,0.01866478,0.06200895,0.11428311
moving_0068.jpg,-2.63717514,0.09037139,2.27409595,-2.73082600,0.07078300,2.21363600,0.09365086,0.01958839,0.06045995,0.11317948
