name,target_camera,method,pair,root_marker,target_marker,root_frame,target_frame,translation_error_cm,rotation_error_deg,est_x_m,est_y_m,est_z_m,gt_x_m,gt_y_m,gt_z_m,notes
cam_edge_3_to_cam_edge_1_direct_static,cam_edge_1,direct_static_aruco,,1,,,,10.191539852746418,1.6788355807144635,-2.146720963872233,-0.1357118189193181,0.25210491022717485,-2.1393670482185616,-0.12854165103881288,0.3535014440640665,Direct static-to-static baseline using shared marker 1.
cam_edge_3_to_cam_edge_0_COLMAP_motion,cam_edge_0,moving_relay_colmap_motion_aruco_metric_scale,cam3_to_cam0,7,4,80,71,20.905889668252172,2.237840997958143,1.8626060878056172,-1.098760075343037,3.0227635074426438,2.059231906455514,-1.1652968333631528,2.9979286618714744,Moving-camera relay. GT is used only for evaluation. COLMAP variant uses no-GT ArUco metric scale.
cam_edge_3_to_cam_edge_5_COLMAP_motion,cam_edge_5,moving_relay_colmap_motion_aruco_metric_scale,cam3_to_cam5,7,12,80,118,9.71910893974232,4.078686133155961,2.9938997314561346,-3.1124322598338283,8.272723452699696,2.898374813490835,-3.101877728211797,8.2582424386392,Moving-camera relay. GT is used only for evaluation. COLMAP variant uses no-GT ArUco metric scale.
cam_edge_3_to_cam_edge_0_GT_motion,cam_edge_0,moving_relay_gt_motion_oracle,cam3_to_cam0,7,4,80,71,19.154083857977568,3.7880040551146235,1.9696433898357708,-1.1813394593282007,3.1664647846637806,2.059231906455514,-1.1652968333631528,2.9979286618714744,Moving-camera relay. GT is used only for evaluation. COLMAP variant uses no-GT ArUco metric scale.
cam_edge_3_to_cam_edge_5_GT_motion,cam_edge_5,moving_relay_gt_motion_oracle,cam3_to_cam5,7,9,80,121,74.20588071063513,12.727217040569807,2.3372683609905787,-3.564418192724561,8.11036701520787,2.898374813490835,-3.101877728211797,8.2582424386392,Moving-camera relay. GT is used only for evaluation. COLMAP variant uses no-GT ArUco metric scale.
