point3d_id,x_ref_aruco_m,y_ref_aruco_m,z_ref_aruco_m,r,g,b,colmap_reprojection_error
8179,-0.5389196009698172,0.5883943072673294,1.3048503528824529,124,124,124,0.11177691029707301
8166,1.156292922352685,0.7682032091672504,0.8910422680466725,7,21,42,0.26889684715475937
8162,-0.5136519711404609,0.5908329415360423,1.2541624710588384,95,98,102,0.07156961166316504
8161,-0.5136519711404609,0.5908329415360423,1.2541624710588384,95,98,102,0.07156961166316504
8160,1.1539568197564032,0.766231876434752,0.8924017562185118,7,21,42,0.12756295687579147
8152,-0.7515178779557417,0.5890180679347301,1.1428656192038065,24,32,50,0.05861312678342636
8147,-0.7412109163018785,0.5899991244712386,1.2774775549904314,123,123,124,0.0995549530629382
8141,1.23813292654123,0.7504570322036359,0.8851862188383025,9,9,9,0.031919837455826716
8140,0.4497655421128669,0.1772412975906824,1.3059246616160953,9,9,9,0.030038845871015796
8132,-0.7395334928533752,0.5882097756579492,0.9850709016385859,30,47,52,0.12235444719938514
8121,-0.7298358049763907,0.5889286525926702,1.1755826920432453,14,24,45,0.29352029308213595
8109,-0.7083710127728688,0.5886084860642498,1.2769876955989607,119,119,120,0.12094557820644525
8108,-0.6976428103159722,0.5893101189340066,1.2758251380002328,26,34,51,0.09165227484991013
8100,-0.702355835952855,0.5902021238678519,1.329302489847496,29,43,53,0.11402561074449606
8092,1.2561612472140467,0.767250048311277,0.9006058186356292,34,85,44,0.16307403228674194
8089,1.2835614277488436,0.7734618991774569,0.9183002631177173,9,11,14,0.7840203501691566
8088,-0.7462930069690799,0.5899315936041785,1.4271051425063048,109,111,114,0.11187317337012541
8087,-0.7169186274691632,0.5894691683051465,1.4239860039277705,106,108,111,0.020943292675574515
8085,-0.7084514763647836,0.5899539865798609,1.4240755715016653,103,105,109,0.01340409951865496
8079,0.2846152737689471,0.7544374006655756,0.8675596998626153,29,30,30,0.8553402177498256
8073,-0.7731483349331192,0.5898008192430249,1.3434236461302311,124,124,124,0.19264915849506653
